"addon_game_name"	"Heroic Road"
"DOTA_HUD_CheckGame_info"  "Query Competition Ranking"
"DOTA_HUD_CheckSpell_NextPage"  "Next Page"
"DOTA_HUD_CheckGame_Button"  "Competition Ranking"
"DOTA_HUD_GameContestinfo_Title"  "Race Ranking"
"DOTA_HUD_GameContestinfo_Title2"  "Endless Ranking"
"DOTA_HUD_GameContestinfo_RankTitle"  "Ranking"
"DOTA_HUD_GameContestinfo_Title_player_1"  "Lone wolf(1P)"
"DOTA_HUD_GameContestinfo_Title_player_2"  "It Takes Two(2P)"
"DOTA_HUD_GameContestinfo_Title_player_3"  "Trine(3P)"
"DOTA_HUD_GameContestinfo_Title_player_4"  "Three cobblers and Zhuge Liang(4P)"
"DOTA_HUD_GameContestinfo_Title_player_5"  "Four ah Dou and Zhao Yun(5P)"
"DOTA_HUD_return"  "Close"
"DOTA_HUD_GetInfo"  "Click for details"
"DOTA_CUSTOM_Fail_send_contestInfo"                   "Failed to send contest data. The server may be unstable. Please don't quit the game, will resend the data later"
"DOTA_CUSTOM_NO_CONTEST"  "Today is the rest day, and the ranking results will not be recorded"
"DOTA_CUSTOM_NO_CONTEST2"  "Today is the rest day, and the FellOmen WAVE will not increase"
"DOTA_HUD_Contest_rule"  "<font color=\"#5bc0de\">Competition Ranking Details</font>:<br><font color=\"#f0ad4e\">Type</font>:The ranking list is divided into two types: racing and endless. Only the seventh and eighth difficulty can be record the contest data.<br><font color=\"#f0ad4e\">Upload score conditions</font>:Complete all waves(Racing)/At least kill one Fog Guard(Endless)will recording the data.The same team only records the best results.The time record of racing challenge is recorded from entering the first wave.(Pause time will not be included)<br>In the case of a single player, if the blessings of the aloof provide more than 3 Resurrection times, Each additional time will be punished. For racing + 40 seconds, for endless - 5 kills.<br><font color=\"#f0ad4e\">Bonus Rules</font>:A player can get two rewards at the same time(In Racing and Endless mode), If you win the first rank in the five players race group and the third rank in the four players race group, you will only get the prize in the five person race group. But your group of four players will not be affected.<br>The award will be based on the ranking at the end of the season.<br><font color=\"#f0ad4e\">Season&nbsp;Cycle</font>:1 Month<br><font color=\"#f0ad4e\">Settlement Time</font>:At 4 a.m. (UTC + 8) on the last day of each month, the reward will be distributed to the reward query in the personal information<br><font color=\"#d9534f\">Note: the last day of each month is a rest day, and the contest data will not be recorded</font><br><font color=\"#f0ad4e\">Reward echelon</font>:<br>Top1:1k platinum;150k reliable exp;2.5k aurum;Mysterious reward 1;<br>Top2-3:600 platinum;120k reliable exp;1.5k aurum;Mysterious reward 2;<br>Top4-10:300 platinum;100k reliable exp;1k aurum;Mysterious reward 3;<br>Top 5%:200 platinum;80k reliable exp;500 aurum;<br>Top 10%:100 platinum;50k reliable exp;300 aurum;<br>Top 20%:30k reliable exp;200 aurum;<br>Top 50%:20k reliable exp:100 aurum;<br>Top 80%:10k reliable exp;50 aurum;<br>Participation Award:5000 reliable exp.<br><br>Mysterious rewards will be distributed on the 1st to 3rd of the following month."
"skills_shop_Text"                   "Spell Shop"
"MyUIButtonText"                   "Spell Shop"
"MyUIMain_title"                   "Choose your skill"
"MytestButton2"                   "TEST"
"MytestButton1"                   "TEST"
"skills_shop_hotkey"                   "Spell Shop"
"DOTA_HUD_Spells_Menu_Spell_Cost"                   "Gold Cost"
"DOTA_HUD_Spells_Menu_Spell_Cost_return"                   "Gold Returned"
"DOTA_HUD_Challenge_Cost_return"                   "Bonus gold for difficulty"
"DOTA_HUD_Spells_Menu_Title"                   "Spell Shop"
"DOTA_HUD_Spells_Menu_Card_Points"                   "Current gold"
"DOTA_HUD_Spells_Menu_Open_Button"                   "Spell Shop(F7)"
"DOTA_HUD_Game_Shop_state_1"                   "Wait for select Game Mod"
"DOTA_HUD_Game_Shop_state_2"                   "Suggest learning spells first (F7), the game shop will open in the second round"

"DOTA_Tooltip_modifier_hd_endless_tired"	"Endless Countdown"  
"DOTA_Tooltip_modifier_hd_endless_tired_Description"	"Attribute reduction begins after 15 minutes; game is forcibly ended at 20 minutes.All Attributes Reduced: %dMODIFIER_PROPERTY_TOOLTIP%Damage Dealt Reduced: %dMODIFIER_PROPERTY_TOOLTIP%%%Damage Taken Increased: %dMODIFIER_PROPERTY_TOOLTIP%%%Proficiency Reduced: %dMODIFIER_PROPERTY_TOOLTIP%%%Cooldowns Increased: %dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_HUD_Spells_Menu_Upgrade_Button"                   "Spell Elevation"
"DOTA_HUD_Spells_Menu_Sell_Button"                   "Sell Ability"
"DOTA_HUD_Spells_Menu_Close_Button"                   "Close Spell Shop"
"DOTA_HUD_Spells_Menu_Swap_Spells_Button"                   "Switch Hotkey"
"DOTA_HUD_Spells_Menu_Not_Enough_Slot"                   "Not Enough Slot"
"DOTA_HUD_Spells_Menu_Description"                   "open spells list by selecting the designated icon"
"DOTA_HUD_Spells_Menu_Attention"                   "Selling ability can return half of the cost gold.You can upgrad the ability when it is max level."
"Spells_Menu_Insufficient_CP"                   "Not enough gold"
"Spells_Menu_unknow_error"                   "Your data cannot be found,please send the screenshot to the author"
"Spells_Menu_PurchaseNewAbility"                   "{s:player_name} learn new spell:<font color=\"#f0ad4e\">{s:ability_name}</font>"
"Spells_Upgrade_Fail"                   "  Spell elevate failed, you might not have this spell certificate"
"Spells_Upgrade_Fail_advanced"                   " Spell upgrade failed, your proficiency is insufficient"
"Spells_Upgrade_Fail_left"                   " {s:player_name} elevate spell <font color=\"#f0ad4e\">{s:ability_name}</font> failed, might not have the spell certificate"
"Spells_Upgrade_Fail_advanced_left"                   " {s:player_name} upgrade spell <font color=\"#f0ad4e\">{s:ability_name}</font> failed, proficiency is insufficient"
"Spells_Menu_UpgradeNewAbility"                   "{s:player_name} elevated spell: <font color=\"#f0ad4e\">{s:ability_name}</font>"
"Spells_Menu_UpgradeNewAbility_advanced"                   "{s:player_name} upgraded ability: <font color=\"#f0ad4e\">{s:ability_name}</font>,  current level: <font color=\"#f0ad4e\">{s:locstring_value}</font>"
"DOTA_HUD_Spells_Menu_Not_Sell"                   "You already have this spell class"
"Spells_Menu_SellNeutralAbility"                   "  {s:player_name}amnesia spell: <font color=\"#f0ad4e\">{s:ability_name}</font>, return <font color=\"#f0ad4e\">{s:locstring_value}</font> gold"







"DOTA_HUD_Spells_Menu_level"                   "Spell Level"
"DOTA_HUD_difficulty_select"                   "Chose Difficulty"
"DOTA_HUD_settind_title"                   "Setting"
"DOTA_HUD_Challenge_button"                   "To bear more suffering(F8)"
"DOTA_HUD_settind_Camera"                   "Camera Z Position"

"DOTA_HUD_difficulty_not_selected_info"                   "Player 1 select difficulty level to start"
"DOTA_HUD_Getexp_Button"                  "Upgrade Spell"
"DOTA_HUD_DropSelectTitle"                   "Select your item reward"
"DOTA_HUD_MysterySelectTitle"                   "Mystery Ability List"
"DOTA_HUD_PhysicalSpells_Button"                   "Physical"
"DOTA_HUD_MagicalSpells_Button"                   "Magical"
"DOTA_HUD_DefenseSpells_Button"                   "Defense"
"DOTA_HUD_SummonSpells_Button"                   "Summon "
"DOTA_HUD_AssistSpells_Button"                   "Assist"
"DOTA_HUD_OtherSpells_Button"                   "Other"
"DOTA_HUD_Spellsinfo_exp"                   "Reliable experience:"
"DOTA_HUD_Spellsinfo_level_now"                   "Level"
"DOTA_HUD_playerSpellslibraryMenuwindowTitle"                   "General Ability Atlas"
"DOTA_HUD_SpellsShopMenuwindowTitle"   "Spell Shop"
"DOTA_HUD_GameShopMenuwindowTitle"   "Game Shop"
"DOTA_HUD_ChaoticEraGameShopMenuwindowTitle"   "Chaotic Era Game Shop"
"DOTA_HUD_GeneralGoods_Button" "General"
"DOTA_HUD_playerGameShopMenuwindowTitle"  "Game Shop"
"DOTA_HUD_VIPGoods_Button"        "VIP"

"cant_buyback_disabled"        "The target can not be respawned"
"Already_buyback"        "Target is in reincarnation"
"cant_buyback_dead"        "You can't buyback others when you were dead"   
"cant_buyback_too_far"        "Distance to target over 500yards"   
"cant_buyback_buying"        "You are  already respawning a unit"  
"cant_buyback_target_weak"        "Target weakness"  
"DOTA_HUD_CheckPay" "Payment check"
"DOTA_CUSTOM_LoginSuccess_buySpell"                   "Data refreshed successfully"
"DOTA_CUSTOM_Success_buySpell"                   "Purchase successfully, waiting for data to be updated"
"DOTA_CUSTOM_Fail_buySpell"                   "Purchase failed, might due to unstable server. Try again five seconds later. If fail repeatedly, please log out and try again"
"DOTA_CUSTOM_LoginFailed_buySpell"                   "Information transfer to server failed. Current server might not be stable. If still cannot reflesh, please log out."

"DOTA_HUD_Payment_Title"  "QR code"
"DOTA_HUD_Payment_INFO"   "System will check payment automatically at regular intervals.The window will automatically close after the payment is completed (with the prompt sound and title). Please check your shop again to see if platium is updated. If not, or no promts, please restart the game. If still not working, please contact the author.<br>Attention:<br>1. Order expires in 5 mins; other purchases cannot be made before orders are completed/expired. <br>2.For players outside Chinese Mainland, please use PayPal<br>3.<font color=\"#d9534f\">Refund is not supported. Please think clearly before taking action.</font><br>4.Due to the high fixed handling fee of PayPal, low value transactions will not be supported for the time being(If the price less than 10USD). Please understand.<br>5.This game is a personal project. I'm the only one maintaining it. Sometimes bugs are inevitable,  please contact me at discord when you have any problem. Thank you for your support"
"DOTA_HUD_Payment_Title2"  "Select payment way"


