"DOTA_Tooltip_modifier_hd_cleave_damage"                   "Cleave damage"

"DOTA_Tooltip_modifier_creeps_spell_fiery_soul"                   "Fiery soul"
"DOTA_Tooltip_modifier_creeps_spell_fiery_soul_Description"       "Grant bonus attack speed and bonus movement speed." 


"DOTA_Tooltip_modifier_creeps_spell_breathe_fire"                   "Breathe fire"
"DOTA_Tooltip_modifier_creeps_spell_breathe_fire_Description"       "Reduce attack damage" 


"DOTA_Tooltip_modifier_creeps_spell_dracarys_damage_count"                   "Dracarys"
"DOTA_Tooltip_modifier_creeps_spell_dracarys_damage_count_Description"       "After accumulated to a certain amount, enter the rage status" 


"DOTA_Tooltip_modifier_dragon_blood_damage_count"                   "Dragon blood"
"DOTA_Tooltip_modifier_dragon_blood_damage_count_Description"       "When accumulated to a certain amount, restore health" 

"DOTA_Tooltip_modifier_creeps_spell_source_fire"                   "SourceFire"
"DOTA_Tooltip_modifier_creeps_spell_source_fire_Description"       "Takes sustained damage " 


"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff"                   "Chain of Fire Origin"
"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff_Description"       "When accumulated to a certain amount, give the opponent amplification." 

"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff_triger"                   "Burn Out"
"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff_triger_Description"       "Grants damage nullification and continuous ranged damage ability" 



"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Aethrak_effect"                   "Primary Aethrak’s soul"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Aethrak_effect_Description"       "Grants bonus attack speed and bonus movement speed." 
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Aethrak_effect"                   "Middle Aethrak’s soul"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Aethrak_effect_Description"       "Grants bonus attack speed and bonus movement speed." 
