"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tiny"	"Growth"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tiny_Description"	"Tiny grows once every %grow_need% rounds, gaining additional base attack damage and attack range. He can grow up to three times.\n<h1><font color='#F0FFFF'>Awakening: Stone Will</font></h1>After growing three times, permanently unlock: when Tiny and his summoned units have more than %line%%% health, they will not die from lethal damage but instead retain 1 health point and become invulnerable for %duration% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tiny_Lore"	"Witnessing a hill turn into a mountain is awe-inspiring, especially when that mountain obliterates its enemies."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tiny_bonus_base_damage"	"Growth Base Attack Damage:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tiny_bonus_attack_range"	"Growth Attack Range:"


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slark"	"Proficiency: Energy Transfer"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slark_Description"	"When Slark's attack hits, it increases his agility, stacking independently for %duration% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slark_Lore"	"Every time he attacks an enemy, Slark understands their weakness a little more."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slark_agi_up"	"▶ Agility increase per stack:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slark_base_limit"	"Base stack limit:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slark_bonus_limit"	"Additional stack limit: Hero Level x"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark"	"Energy Transfer"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_Description"	"▶ Agility increase per stack: %fMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_buff"	"Energy Transfer"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_buff_Description"	"Agility increased by %fMODIFIER_PROPERTY_TOOLTIP%"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage"	"Momentary Blink"
