"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat"	"Harlequin's Hat<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_Description"	"<h1>Passive: Damage Avoidance</h1>Blessed by nature, when you receive damage from a teammate, you can recover 50%% of this part of the damage in 5 seconds, which is regarded as your self healing.<br><br><h1>Passive: Nature's Dote</h1><br>While triggering 'Damage Avoidance', you can gain 3 points of strength bonus in 20 seconds, which can be stacked independently, and the maximum effective value is 100.<br><br>Attribute bonus effect has a 0.2 second cooldown"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_Lore"	"It is said that only those who are favored by nature can wear this hat."
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_Note0"	"Note: "
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_bonus_str"	"+$str"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_bonus_health"	"+$health"

"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active"                   "Damage Avoidance"
"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active_Description"       "Delay restoring HP" 
"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active2"                   "Nature's Dote"
"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active2_Description"       "Strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%" 




"DOTA_Tooltip_ability_item_hd_philosopher_stone"	"Demonizing Philosopher Stone<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_philosopher_stone_Description"	"<h1>Passive: Compensatory</h1>When your mana is greater than 90%%, the surplus will be stored, which can store up to 10 times your maximum mana. When your mana is less than 50%%, the stored mana will be automatically drawn, and your mana will be increased to 50%%."
"DOTA_Tooltip_ability_item_hd_philosopher_stone_Lore"	"The Philosopher Stone is a magical material, which can save you from the 'cost' in alchemy. This material is obtained by killing dragons and taking it out of their bodies. Originally, humans could make it by themselves, but the method of making it has been lost, so it can only be extracted from the keel cross."
"DOTA_Tooltip_ability_item_hd_philosopher_stone_Note0"	"Note: "
"DOTA_Tooltip_ability_item_hd_philosopher_stone_bonus_mana"	"%+$mana"
"DOTA_Tooltip_modifier_item_hd_philosopher_stone"                   "Demonizing Philosopher Stone"
"DOTA_Tooltip_modifier_item_hd_philosopher_stone_Description"       "Store %dMODIFIER_PROPERTY_TOOLTIP% mana points" 

// item_hd_eden_blacksmith_platform
"DOTA_Tooltip_ability_item_hd_eden_blacksmith"	"Eden Blacksmith Platform<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_eden_blacksmith_Description"	"<h1>Passive: Legendary Forging</h1>When equip this item, you have a 17%% chance to obtain a LV4 treasure Chests at each round settlement."
"DOTA_Tooltip_ability_item_hd_eden_blacksmith_Lore"	"It seems that the legendary Blacksmith Platform can be used to make something powerful."
"DOTA_Tooltip_ability_item_hd_eden_blacksmith_Note0"	"Note: <br>This equipment can also be used by owner's teammates, the treasure chest can be shared."


"DOTA_HUD_eden_blacksmith_platform_info"   "{s:player_name}forged something powerful by <font color=\"#f0ad4e\">{s:locstring_value}</font>, and place it into <font color=\"#f0ad4e\">{s:locstring_value2}</font>"
"DOTA_HUD_eden_blacksmith_platform_info2"   "The craftsman refused {s:player_name}, please wash your face."



"DOTA_Tooltip_ability_item_hd_moirai_hat"	"Moirai's Hat<font color=\"#777777\"> - Tier 5</font>"  
"DOTA_Tooltip_ability_item_hd_moirai_hat_Description"	"<h1>Passive: Wisdom of Fate</h1> Every %atb_spell_amp% points of primary attribute grants %fake_kv%%% spell amplification, up to %spell_amp_max%%%."  
"DOTA_Tooltip_ability_item_hd_moirai_hat_Lore"	"A hat blessed by the Fates, granting its wearer the ability to glimpse the near future."  
"DOTA_Tooltip_ability_item_hd_moirai_hat_bonus_spell_amp"	"%+$spell_amp"  


"DOTA_Tooltip_ability_item_hd_book_of_death"	"The Book of Satan<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_book_of_death_Description"	"<h1>Active: Summoning Ceremony </h1>Sacrifice all your mana and health to summon the demons from the Foulfell, and it will inherit the Health =  total HP+MP you have given, attack damage = 10%% of this value, and armor = 0.3%% this value, lasting for 100 seconds.<br>\n<h1>Passive: Satanism Thrall</h1>Demons or undying enslaved by you will gain 35%% bonus outgoing damage."
"DOTA_Tooltip_ability_item_hd_book_of_death_Lore"	"A forbidden book compiled by Satan, which records the ritual of summoning legendary demons."
"DOTA_Tooltip_ability_item_hd_book_of_death_Note0"	"Note: "
"DOTA_Tooltip_ability_item_hd_book_of_death_bonus_int"	"+$int"
"DOTA_Tooltip_ability_item_hd_book_of_death_bonus_str"	"+$str"
"DOTA_Tooltip_ability_item_hd_book_of_death_bonus_summon_intensity"	"%+$summon_intensity"

"DOTA_Tooltip_modifier_item_hd_book_of_death_active"                   "Satanism Thrall"
"DOTA_Tooltip_modifier_item_hd_book_of_death_active_Description"       "Outgoing damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

"DOTA_Tooltip_ability_creeps_spell_demon_power_terrorblade"	"Demon Power"
"DOTA_Tooltip_ability_creeps_spell_demon_power_terrorblade_Description"	"Attack speed increased by 30%%."
"DOTA_Tooltip_ability_creeps_spell_demon_power_terrorblade_Lore"	"The blood of the devil will greatly enhance the physical ability of the creature"



"DOTA_Tooltip_ability_item_hd_ancient_gemstone"	"Ancient Gemstone<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_Description"	"<h1>Active: Magic Release</h1><br>Cause INT * 20+4000 damage to the target, this effect have penetration attribute, it can ignore the targeted spells absorption.<br>\n<h1>Passive: Magic Recycling</h1><br>If the magic energy kills the target, you will permanently increase your spell amp by 3%%, but at most 60%%."
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_Lore"	"Ancient Malachite gemstone harvested in the dephts ofa sunken citadel . The surface of the stone is covered with mysteriousetchings that radiate a faint blue light "
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_Note0"	"Note: <br>Even if you lose items, you will not lose the bonus spell amp."
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_bonus_int"	"+$int"

"DOTA_Tooltip_modifier_item_hd_ancient_gemstone_buff"                   "Magic Recycling"
"DOTA_Tooltip_modifier_item_hd_ancient_gemstone_buff_Description"       "Spell amp increased by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%" 



"DOTA_Tooltip_ability_item_hd_slark_double_blades"	"Sea Prison Double Blades<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_slark_double_blades_Description"	"<h1>Passive: Essence Shift</h1>Each attack can absorb 2 temporary attack damage from the target, which can be stacked independently for 30 seconds, a single target can absorb up to 100 attack damage, and the total effective absorption value will not exceed 400."
"DOTA_Tooltip_ability_item_hd_slark_double_blades_Lore"	"The weapons used by Slark were lost in a battle many years ago, and were later found in the belly of a sea monster. This pair of weapons still retain the breath of their former master, and have his special abilities."
"DOTA_Tooltip_ability_item_hd_slark_double_blades_bonus_agi"	"+$agi"



"DOTA_Tooltip_modifier_item_hd_slark_double_blades_buff"                   "Essence Shift"
"DOTA_Tooltip_modifier_item_hd_slark_double_blades_buff_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%" 
"DOTA_Tooltip_modifier_item_hd_slark_double_blades_debuff"                   "Essence Shift"
"DOTA_Tooltip_modifier_item_hd_slark_double_blades_debuff_Description"       "Attack damage reduced by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%" 




// "DOTA_Tooltip_ability_item_hd_replica_of_venom"	"毒液的复制品"
// "DOTA_Tooltip_ability_item_hd_replica_of_venom_Description"	"<h1>消耗：使用</h1>喝下瓶中的神奇生物，你将获得2种效果：<br>侵蚀：你的身心将不断被侵蚀，每秒扣除当前生命值的3%%。<br>毒液之手：攻击距离增加20%%，对于近战单位有双倍效果。"
// "DOTA_Tooltip_ability_item_hd_replica_of_venom_Lore"	"装着一小部分毒液共生体的复制体的瓶子，你可以选择与其融合。但注意别被其吞没了你的思维。"
// "DOTA_Tooltip_ability_item_hd_replica_of_venom_Note0"	"Note: 不可逆转，但可以通过某种手段移除'侵蚀'。"


"DOTA_Tooltip_ability_item_hd_hermes_boots"	"Hermes Boots<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_hermes_boots_Description"	"<h1>Active:Instantaneous Movement</h1>You can instantly move to the target position, even if you are stunned or dead, you can release this effect.<br><br>Cast Range: 1500<br><br>\n<h1>Passive: Flicker</h1>Your 'Stride' casting range will be increased by 700, and the cooldown will be reduced to 3 seconds."
"DOTA_Tooltip_ability_item_hd_hermes_boots_Lore"	"Boots blessed by the god of speed, the spring equipped with ancient dwarf craftsmanship under the boots enables you to move at an instant speed."
"DOTA_Tooltip_ability_item_hd_hermes_boots_Note0"	"Note: "
"DOTA_Tooltip_ability_item_hd_hermes_boots_bonus_move_speed"	"+$move_speed"


"DOTA_Tooltip_ability_item_hd_ice_ring"	"Yumier's Frost Ring<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_ice_ring_Description"	"<h1>Active: Sennen Hyōrō </h1>Designate a target to release ice prison and freeze it for 15 seconds. The target will be invincible during the period. It can be released against enemies or friends.The friendly target can issue a stop order to remove this buff.<br><br>Fixed cooldown time: 60 seconds"
"DOTA_Tooltip_ability_item_hd_ice_ring_Lore"	"Then went all the powers to their judgement-seats,the all-holy gods, and thereon held council, who should of the dwarfs race create, from the sea-giant's blood and livid bones."
"DOTA_Tooltip_ability_item_hd_ice_ring_Note0"	"Note:<br>Can't be dispelled, fixed duration."
"DOTA_Tooltip_ability_item_hd_ice_ring_bonus_health"	"+$health"
"DOTA_Tooltip_ability_item_hd_ice_ring_bonus_mana"	"+$mana"
"DOTA_Tooltip_modifier_item_hd_ice_ring_buff"                   "Sennen Hyōrō "
"DOTA_Tooltip_modifier_item_hd_ice_ring_buff_Description"       "Trapped in the endless prison of ice" 



"DOTA_Tooltip_ability_item_hd_fate_ring"	"Fortune Rewrite Ring<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_fate_ring_Description"	"<h1>Consumption:Fate rewriting</h1>Remove Up to 20 stacks of risk dice's debuff. After use, the ring will be broken and cannot be used again."
"DOTA_Tooltip_ability_item_hd_fate_ring_Lore"	"The ring is engraved with ancient characters and emits golden light. Although people did not understand what the ring was capable of at first, when they wore it, they would receive a message in their mind - that is, the power of the ring."
"DOTA_Tooltip_ability_item_hd_fate_ring_Note0"	"Note: <br>Can be given to other players"




"DOTA_Tooltip_ability_item_hd_potion_of_planar"	"Potion of Planar Infusion<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_potion_of_planar_Description"	"<h1>Active:Drinking</h1>After drinking the potion, you will increase your spell amp by 30%% in 15 seconds. It can stack independently and get 150%% bonus at most. After the efficacy fails, you will suffer from mental damage, which will reduce double spell amp and last for 25 seconds."
"DOTA_Tooltip_ability_item_hd_potion_of_planar_Lore"	"Meticulously extracted from the touch of starlight, the light of a black hole, and the sound of a vacuum , this silver liquid forms a swirling , spiral galaxy when left to settle."
"DOTA_Tooltip_ability_item_hd_potion_of_planar_Note0"	"Note: <br>Not affected by any gain"


"DOTA_Tooltip_modifier_item_hd_potion_of_planar"                   "Potion of Planar Infusion"
