"DOTA_Tooltip_ability_item_hd_Treasure5_shop"	"L's Secret Treasure Chest<font color=\"#777777\">-Shop</font>"
"DOTA_Tooltip_ability_item_hd_Treasure5_shop_Description"	"<h1>Consumption: Redemption</h1>Gain 1 opportunity to directly obtain a item by left-clicking on any of the [5th echelon] item in the Item Atlas."

"DOTA_Tooltip_ability_item_hd_Treasure1_oblation"	"Ode's Replacement Box<font color=\"#777777\">-1st echelon</font>"
"DOTA_Tooltip_ability_item_hd_Treasure1_oblation_Description"	"<h1>Consumption: Replacement</h1>Consume 2000 coins to gain 1 opportunity to directly obtain a item by left-clicking on any of the [1st echelon] item in the Item Atlas."
"DOTA_Tooltip_ability_item_hd_Treasure2_oblation"	"Ode's Replacement Box<font color=\"#777777\">-2ed echelon</font>"
"DOTA_Tooltip_ability_item_hd_Treasure2_oblation_Description"	"<h1>Consumption: Replacement</h1>Consume 4000 coins to gain 1 opportunity to directly obtain a item by left-clicking on any of the [2ed echelon] item in the Item Atlas."
"DOTA_Tooltip_ability_item_hd_Treasure3_oblation"	"Ode's Replacement Box<font color=\"#777777\">-3rd echelon</font>"
"DOTA_Tooltip_ability_item_hd_Treasure3_oblation_Description"	"<h1>Consumption: Replacement</h1>Consume 8000 coins to gain 1 opportunity to directly obtain a item by left-clicking on any of the [3rd echelon] item in the Item Atlas."
"DOTA_Tooltip_ability_item_hd_Treasure4_oblation"	"Ode's Replacement Box<font color=\"#777777\">-4th echelon</font>"
"DOTA_Tooltip_ability_item_hd_Treasure4_oblation_Description"	"<h1>Consumption: Replacement</h1>Consume 12000 coins to gain 1 opportunity to directly obtain a item by left-clicking on any of the [4th echelon] item in the Item Atlas."
"DOTA_Tooltip_ability_item_hd_Treasure5_oblation"	"Ode's Replacement Box<font color=\"#777777\">-5th echelon</font>"
"DOTA_Tooltip_ability_item_hd_Treasure5_oblation_Description"	"<h1>Consumption: Replacement</h1>Consume 25000 coins to gain 1 opportunity to directly obtain a item by left-clicking on any of the [5th echelon] item in the Item Atlas."



"DOTA_Tooltip_modifier_item_hd_Treasure1_oblation"                   "Replacement"
"DOTA_Tooltip_modifier_item_hd_Treasure1_oblation_Description"       "You have the opportunity to freely choose LV1 items" 
"DOTA_Tooltip_modifier_item_hd_Treasure2_oblation"                   "Replacement"
"DOTA_Tooltip_modifier_item_hd_Treasure2_oblation_Description"       "You have the opportunity to freely choose LV2 items" 
"DOTA_Tooltip_modifier_item_hd_Treasure3_oblation"                   "Replacement"
