"npc_eidolon"	"Eidolon"
"npc_eidolon_hype"	"Born in the void, constantly drain Taichu Power"

"npc_eidolon_2"	"Eidolon2"
"npc_eidolon_2_hype"	"Born in the void, constantly drain Taichu Power"
"npc_eidolon_3"	"Eidolon3"
"npc_eidolon_3_hype"	"Born in the void, constantly drain Taichu Power"
"npc_monster_wave_1_2"	"Melee Pawn"
"npc_monster_wave_1_2_hype"	"Gatekeeper"
"npc_monster_wave_2_1"	"Goblin Guardian"
"npc_monster_wave_2_1_hype"	"Goblin Guardian"
"npc_monster_wave_2_2"	"Goblin Archer"
"npc_monster_wave_2_2_hype"	"Goblin Guardian"
"npc_monster_wave_1_1"	"Ranger Pawn"
"npc_monster_wave_1_1_hype"	"Gatekeeper"
"npc_monster_wave_3_4"	"Evil Furbolg"
"npc_monster_wave_3_5"	"Venomous Furbolg"
"npc_monster_wave_3_1"	"Furious Furbolg"
"npc_monster_wave_3_3"	"Grim furbolg"
"npc_monster_wave_3_2"	"Restless Furbolg"
"npc_monster_wave_3_3_hype"	"Five Colour Legion"
"npc_monster_wave_3_4_hype"	"Five Colour Legion"
"npc_monster_wave_3_5_hype"	"Five Colour Legion"
"npc_monster_wave_3_2_hype"	"Five Colour Legion"
"npc_monster_wave_3_1_hype"	"Five Colour Legion"
"npc_monster_wave_3_6"	"Hellbear"
"npc_monster_wave_3_6_hype"	"Five Colour Legion"
"npc_monster_wave_4_1"	"Agitated Predatory spiders"
"npc_monster_wave_4_2"	"Ruthless Relatives eater"
"npc_monster_wave_4_3"	"Shrinking Spawner"
"npc_monster_wave_4_1_1"	"Agitated Predatory spiders (larvae)"
"npc_monster_wave_4_1_2"	"Agitated Predatory spiders(eggs) "

"npc_monster_wave_5_1"	"Elite·Son of Barnock "

"npc_monster_wave_6_1"	"Middle Melee Pawn"
"npc_monster_wave_6_2"	"Middle Ranger Pawn"
"npc_monster_wave_6_2_hype"	"Gatekeeper"



"npc_monster_wave_7_1"	"Kobold Slave Owner"
"npc_monster_wave_7_2"	"Kobold Mercenary"
"npc_monster_wave_7_3"	"Kobold Slave"




"npc_monster_wave_8_1"	"Thunderhide Warrior"
"npc_monster_wave_5_1_clone"	"Elite·Son of Barnock"
"npc_monster_wave_8_2"	"Thunderhide Legion Commander"

"npc_monster_wave_9_1"	"Io"



"npc_monster_wave_10_1"	"Prologue Gatekeeper Barnock"
"npc_monster_wave_11_1"	"Night Assassin Extreme"
"npc_monster_wave_11_2"	" Night Assassin Srike"
"npc_monster_wave_12_1"	"Dark Moon Knight"
"npc_monster_wave_12_2"	"Moonlight Knight"
"npc_monster_wave_13_1"	"Treant"
"npc_monster_wave_13_2"	"Centennial Treant"
"npc_monster_wave_13_3"	"Millennium Treant"
"npc_monster_wave_13_4"	"Millennium Treant"
"npc_monster_wave_14_1"	"Commander King Wolf "
"npc_monster_wave_14_2"	"Blood Clan Protector"
"npc_monster_wave_14_3"	"Wolf"
"npc_monster_wave_15_1"	"Elite · Daughter of Farna"
"npc_monster_wave_20_1"	"Nature's Second Daughter Farner"
"npc_monster_wave_16_1"	"ungle Prophet"
"npc_monster_wave_16_2"	"Jungle Shaman"
"npc_monster_wave_18_1"	"Ancient Stone"
"npc_monster_wave_19_1"	" Axe · Mogul Khan"

