// Chaotic era
"DOTA_CUSTOM_Fail_ChaoticSkillbooks_gain"       "Skillbooks Gain Failed"

"DOTA_HUD_chaoticEraSpellslibraryMenuwindowTitle"                   "Chaotic Ability Atlas"
"DOTA_HUD_playerArtifactTitle"                   "Relic Atlas"

"DOTA_Tooltip_modifier_chaotic_buff"    "Chaos Era Attributes"  
"DOTA_Tooltip_modifier_chaotic_buff_Description"    "Chaos Era mode attributes:<br><font color='#F0FFFF'>·1 primary attribute = 0.07%% spell amplification, 0.09%% for intelligence heroes<br>·1 intelligence = 0.03%% cooldown reduction, up to a maximum of 30%%</font>"
"HUD_Chaotic_era_detail" "Detail"

"DOTA_Tooltip_modifier_chinese_event_guoqing_2025"    "Celebration"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_Description"    "Find the celebration circles nearby!"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_1_buff"    "Red Celebration Blessing"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_1_buff_Description"    "·Total damage dealt increased by 40%% [×]<br>·Gain 20%% Attack Damage<br>·Gain 30%% Spell Amplification<br>·Gain 30%% Summon Amplification"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_2_buff"    "Blue Celebration Blessing"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_2_buff_Description"    "·Refreshable ability cooldown speed increased by 300%%<br>·Non-refreshable ability cooldown speed increased by 100%%"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_3_buff"    "Green Celebration Blessing"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_3_buff_Description"    "·Restore 1%% of maximum Health and Mana every 0.5 seconds<br>·Gain 30%% Damage Reduction<br>·Gain 50%% Mastery"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_gold_buff"    "Golden Celebration Blessing"
"DOTA_Tooltip_modifier_chinese_event_guoqing_2025_gold_buff_Description"    "·Gain 12 gold every 0.5 seconds<br>·Gain additional 30 gold whenever any enemy dies"

"HUD_Chaotic_era_title" "Chaotic Era"
"HUD_Chaotic_era_spell_type_1" "<font color=\"#bcefff\">General Ability</font>"
"HUD_Chaotic_era_spell_type_1_info" "General Abilities refer to the abilities that can be learned in the ability shop during general mode and can be evolved."
"HUD_Chaotic_era_spell_type_2" "<font color=\"#92f8e5\">Chaotic Ability</font>"
"HUD_Chaotic_era_spell_type_2_info" "Chaotic Ability will only appear in Chaotic Era mode, with fixed levels and cannot be upgraded. However, you can enhance/change the ability effects by rune."

"DOTA_Tooltip_modifier_chaotic_players_1" "Power Beyond"
"DOTA_Tooltip_modifier_chaotic_players_1_Description" "·220%% increased damage [×]<br>·Gain 5%% lifesteal<br>·Receive a weak dispel every 10 seconds<br>·Gain 3 revival chances"
"DOTA_Tooltip_modifier_chaotic_players_2" "Realm of Twin Shadows"
