"DOTA_Tooltip_ability_chaotic_ice_age"	"Ice Age"
"DOTA_Tooltip_ability_chaotic_ice_age_Description"	"Unleashes the glacial runes recorded by the super ancient civilization, briefly returning the earth to an ice age. It deals ice attribute damage to enemies within %radius% range around the user through continuous magic consumption. If an enemy dies due to this, a small amount of mana is restored.<br><br>Also cause half of original damage as <font color='#87ceeb'>Freezing</font>."
"DOTA_Tooltip_ability_chaotic_ice_age_Lore"	"We pray here: May the world return to pure white, the white purity."
"DOTA_Tooltip_ability_chaotic_ice_age_damage"	"Base Damage:"
"DOTA_Tooltip_ability_chaotic_ice_age_bonus_damage"	"Additional Damage: Primary Attribute x"
"DOTA_Tooltip_ability_chaotic_ice_age_duration"	"Duration:"
"DOTA_Tooltip_ability_chaotic_ice_age_interval"	"Effect Interval:"
"DOTA_Tooltip_ability_chaotic_ice_age_mana_cost"	"% Mana Cost:"
"DOTA_Tooltip_ability_chaotic_ice_age_mana_get"	"% Mana Restored:"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_1"              "Immortality I: Aberrant Storm"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_1_Description"  "Use magic recklessly, increasing mana cost by %rune_1_mana_cost%%% [+] and converting it to current mana consumption, but when an enemy dies to Ice Age, the mana restored is increased by %rune_1_mana_get%%% [×] and the duration of Ice Age is extended by %rune_1_duration% seconds.Almostly,ice age become ICE and DARK damage."
"DOTA_Tooltip_ability_chaotic_ice_age_rune_2"              "Immortality II: Composure of the Ice Age Lord"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_2_Description"  "If holding 'Ice Storm', there is a %rune_2_chance%%% chance to release a free Ice Storm at the user's position each time Ice Age takes effect; otherwise, when an enemy is killed during Ice Age, the user's cooldown is reduced by %rune_2_cooldown_self% seconds."
"DOTA_Tooltip_ability_chaotic_ice_age_rune_3"              "Immortality III: Ice Bloodline"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_3_Description"  "Ice Age no longer requires initial mana and its mana cost per second is reduced by %rune_3_mana%%% [×]. Damage dealt to <font color='#87ceeb'>Frozen</font> enemies is increased by %rune_3_index%%% [×]"
"DOTA_Tooltip_modifier_chaotic_ice_age" "Ice Age"


"DOTA_Tooltip_ability_chaotic_sky_fire"	"Celestial Impeding Meteor"
"DOTA_Tooltip_ability_chaotic_sky_fire_Description"	"<font color='#E6E6FA'>Consuming all remaining mana amplifies the damage</font>. Summons two consecutive meteors from the sky that bring destruction; upon impact, the meteors deal Fire-type damage. The second meteor has a larger area of effect and deals more damage. Following their impact, both meteors explode and fragment on the ground, dealing Fire-type damage at a certain multiplier of the meteor's damage."
"DOTA_Tooltip_ability_chaotic_sky_fire_Lore"	"We pray herein: May the world return to pristine white, the purity of white."
"DOTA_Tooltip_ability_chaotic_sky_fire_mp_index"	"% Damage increase per 100 mana consumed:"
"DOTA_Tooltip_ability_chaotic_sky_fire_index"	"% Second meteor damage multiplier:"
"DOTA_Tooltip_ability_chaotic_sky_fire_radius"	"Meteor impact radius:"
"DOTA_Tooltip_ability_chaotic_sky_fire_damage"	"Meteor base damage:"
"DOTA_Tooltip_ability_chaotic_sky_fire_bonus_damage"	"Meteor additional damage: Primary attribute x"
"DOTA_Tooltip_ability_chaotic_sky_fire_damage_end"	"% Meteor fragmentation damage multiplier:"
