

"DOTA_Tooltip_ability_chaotic_fire_storm"	"Fire Storm"  
"DOTA_Tooltip_ability_chaotic_fire_storm_Description"	"Creates several waves of fiery storms at the target location, each landing randomly within the area. It deals Fire and Dark damage to enemies and increases the stack count of their <font color='#cd5c5c'>Burn</font> status."  
"DOTA_Tooltip_ability_chaotic_fire_storm_Lore"	"Although the Dark Lord's ultimate technique bears some resemblance to this skill, there are fundamental differences — and it's unclear which one is superior."  
"DOTA_Tooltip_ability_chaotic_fire_storm_base_damage"	"Base Damage:"  
"DOTA_Tooltip_ability_chaotic_fire_storm_bonus_damage"	"Bonus Damage: Primary Attribute × "  
"DOTA_Tooltip_ability_chaotic_fire_storm_burning_bonus"	"%Burn stack increase:"  
"DOTA_Tooltip_ability_chaotic_fire_storm_count"	"Number of Storm Waves:"  
"DOTA_Tooltip_ability_chaotic_fire_storm_cooldown_reduction"	"Storm Interval:"  
"DOTA_Tooltip_ability_chaotic_fire_storm_width"	"Area of Effect:"  
"DOTA_Tooltip_ability_chaotic_fire_storm_rune_1"              "Immortal I: Stable Storm"  
"DOTA_Tooltip_ability_chaotic_fire_storm_rune_1_Description"  "Fire Storm no longer randomly deviates, but its <font color='#cd5c5c'>Burn</font> stacking effect is reduced by %rune_1_bonus%%% [×]"  
"DOTA_Tooltip_ability_chaotic_fire_storm_rune_2"              "Immortal II: Legion's Might"  
"DOTA_Tooltip_ability_chaotic_fire_storm_rune_2_Description"  "Increases attack damage of allied units hit by the storm by %rune_2_index%%% of the ability's base damage, lasting for %rune_2_duration% seconds"  
"DOTA_Tooltip_ability_chaotic_fire_storm_rune_3"              "Immortal III: Scorching Rain"  
"DOTA_Tooltip_ability_chaotic_fire_storm_rune_3_Description"  "Total storm waves increased by %rune_3_count%%% [×], storm interval reduced by %rune_3_interval%%% [×], and all damage is converted into <font color='#cd5c5c'>Burn</font> application"  
"HUD_Spell_Rune_chaotic_fire_storm_cooldown_reduction" "Storm Interval"


"DOTA_Tooltip_ability_chaotic_reverse_gravity"	"Reverse Gravity"
"DOTA_Tooltip_ability_chaotic_reverse_gravity_Description"	"Create a gravity reversal zone in a specified area, causing all individuals within it to leave the ground and fall upwards, gaining the ability to fly. For enemies, their movement speed is significantly reduced. When the effect ends, they will plummet and take damage based on the accumulated height. Unable to affect giant units."
"DOTA_Tooltip_ability_chaotic_reverse_gravity_Lore"	"In a zero-gravity environment, centrifugal force can be utilized to simulate gravity. However, for the grand mages, creating a gravitational effect out of thin air is achievable with just magic."





"DOTA_Tooltip_ability_chaotic_reverse_gravity_move_slow"	"Move Slow:"

"DOTA_Tooltip_ability_chaotic_reverse_gravity_height_add_rate"	"Altitude per Second:"
"DOTA_Tooltip_ability_chaotic_reverse_gravity_height_min_require"	"Minimum Height Requirement for Damage:"
"DOTA_Tooltip_ability_chaotic_reverse_gravity_damage_per_100_height"	"Damage Per 100 Height:Primary Attribute x"

	

"DOTA_Tooltip_ability_chaotic_reverse_gravity_duration"	"Duration:"
"DOTA_Tooltip_ability_chaotic_reverse_gravity_radius"	"Effect Radius:"





"DOTA_Tooltip_modifier_chaotic_reverse_gravity_buff"                   "Anti-Gravity"


"DOTA_Tooltip_ability_chaotic_reverse_gravity_rune_1"              "Potent"
"DOTA_Tooltip_ability_chaotic_reverse_gravity_rune_1_Description"  "Effective on giant units; for non-giant units, the height increase effect is increased by %rune_1_bonus%%%"




"DOTA_Tooltip_ability_chaotic_mohrs_shield"	"Mohrs Shield"
"DOTA_Tooltip_ability_chaotic_mohrs_shield_Description"	"Protects target allies, granting them damage resistance, with complete immunity to weaker damage"
"DOTA_Tooltip_ability_chaotic_mohrs_shield_Lore"	"This spell possesses immense power but has a short duration, making its primary function to buy some time for you or your teammates in intense battles."
"DOTA_Tooltip_ability_chaotic_mohrs_shield_damage_reduction"	"%Damage Reduction:"
"DOTA_Tooltip_ability_chaotic_mohrs_shield_damage_require"	"Complete Damage Reduction threshold: Caster's Primary Attribute x"
"DOTA_Tooltip_ability_chaotic_mohrs_shield_duration"	"Duration:"
"DOTA_Tooltip_ability_chaotic_mohrs_shield_cast_range"	"Cast Range:"


"HUD_Spell_Rune_chaotic_mohrs_shield_cooldown_time"  "Cooldown Time"


"DOTA_Tooltip_modifier_chaotic_mohrs_shield"                   "Mohrs Shield"
"DOTA_Tooltip_modifier_chaotic_mohrs_shield_Description"       "Damage reduction increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

"DOTA_Tooltip_ability_chaotic_mohrs_shield_rune_1"              "Strong Stand"
"DOTA_Tooltip_ability_chaotic_mohrs_shield_rune_1_Description"  "During the duration, each instance of damage taken increases the complete damage resistance effect by %rune_1_bonus%%%, up to a maximum increase of %rune_1_bonus_max%%%."


"DOTA_Tooltip_ability_chaotic_spell_sequencing"	"Spell Sequencing"
"DOTA_Tooltip_ability_chaotic_spell_sequencing_Description"	"Allows you to store spells; in auto-cast mode, the next ability you cast will be marked. After releasing the marked ability, there is a short delay before it goes into cooldown, but with a lower conversion efficiency."
"DOTA_Tooltip_ability_chaotic_spell_sequencing_Note0"	"Note: Cannot be applied to non-refreshable abilities; the marked abilitiy cannot be switched while on cooldown."
"DOTA_Tooltip_ability_chaotic_spell_sequencing_Lore"	"Mastering this spell allows you to unleash multiple instances of the same skill in an instant, albeit at a significantly higher cost. Top-tier mages often prepare meticulously for battles, and a well-prepared mage can be virtually invincible."




"DOTA_Tooltip_ability_chaotic_spell_sequencing_cooldown_rate"	"%Cooldown Time Chance Rate:"
"DOTA_Tooltip_ability_chaotic_spell_sequencing_max_cooldown_index"	"Maximum Refreshable Cooldown multiplier:"


"DOTA_Tooltip_modifier_chaotic_spell_sequencing"                   "Spell Sequencing"
"DOTA_Tooltip_modifier_chaotic_spell_sequencing_Description"       "Marking the currently prefabricated ability" 

"DOTA_Tooltip_ability_chaotic_spell_sequencing_rune_1"              "Sequence Redrawing"
"DOTA_Tooltip_ability_chaotic_spell_sequencing_rune_1_Description"  "The Cooldown Time conversion is increased by %rune_1_bonus%%[×], but the Cooldown Time of this skill reduces by the current %rune_1_reduction%%% every %rune_1_interval% seconds."






"DOTA_Tooltip_ability_chaotic_aura_invisibility"	"Aura Invisibility"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_Description"	"Allies within the area of effect enter a protective state similar to Greater Invisibility of the Fourth Circle. Like the Fourth Circle's Greater Invisibility, invisibility may prematurely end when the target initiates an attack or casts a spell, and this probability increases over time. Once a target becomes invisible, there is a cooldown period before they can be subjected to invisibility again."
"DOTA_Tooltip_ability_chaotic_aura_invisibility_Lore"	"situations."
"DOTA_Tooltip_ability_chaotic_aura_invisibility_attack_chance"	"%Probability of Ending Upon Attack:"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_attack_chance_gain"	"%Probability Increase of Ending Upon Attack:"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_cast_chance"	"%Probability of Ending Upon Casting:"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_cast_chance_gain"	"%Probability Increase of Ending Upon Casting:"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_duration"	"Duration:"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_debuff_duration"	"Time required to become invisible again:"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_radius"	"Effect Radius:"

"DOTA_Tooltip_modifier_chaotic_aura_invisibility"                   "Aura Invisibility"
"DOTA_Tooltip_modifier_chaotic_aura_invisibility_Description"       "You're invisible to the enemy." 
"DOTA_Tooltip_modifier_chaotic_aura_invisibility_cooldown"                   "Invisibility Cooldown"
"DOTA_Tooltip_modifier_chaotic_aura_invisibility_cooldown_Description"       "You will not be able to enter invisibility for some time" 




"DOTA_Tooltip_ability_chaotic_aura_invisibility_rune_1"              "Rapid Transfer"
"DOTA_Tooltip_ability_chaotic_aura_invisibility_rune_1_Description"  "Move speed increased by %rune_1_bonus_move%%% in invisibility"





"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation"	"Ruby Reverse Radiation"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_Description"	"Fires a ruby-colored ray at an enemy, applying <font color='#cd5c5c'>Burn</font>, shield destruction, and significantly reducing armor and magic resistance to the target and several nearby enemies."  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_Lore"	"Typically you would need a ruby as a medium to cast this, but after extensive research, most mages can now cast this ability by materializing magical assistance."  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_burning"	"Burning Add：Primary ATB ×"
