"HUD_player_artifact_Title" "Artifact: <font color=\"#6de2c5\">{s:ability_owner}</font>"
"HUD_player_artifact_Rarity" "Rarity: {s:rarity}"
"HUD_player_artifact_Level" "<font color=\"#8bb6ff\">Artifact Level</font>: {s:artifactLevel}"
"HUD_player_artifact_LevelProgress" "<font color=\"#596e89\">Artifact Experience</font>: {s:exp_current} / {s:exp_require}"

"HUD_player_artifact_bonus_per_level" "{s:bonus_pre_level}<font color=\"#596e89\"> Per Level</font>"

"HUD_player_artifact_additional_unlock" "Unlocked at LV{s:level_require}:"
"HUD_player_artifact_lore" "<font color=\"#614f7377\">Legend:</font>{s:lore}"
"HUD_player_artifact_hero_level_require" "Hero Equipment Level Requirement: <font color=\"#fffd7a\">{s:level_require}</font>"

"HUD_player_artifact_lock" "Locked"
"HUD_player_artifact_Take" "Take Artifact"
"HUD_player_artifact_Clear" "Remove Artifact"
"HUD_player_artifact_TakeThis" "Take"
"HUD_player_artifact_BuyThis" "Buy"
"HUD_player_artifact_same_artifact" "Cannot take the same artifact"
"HUD_player_artifact_max" "No Available Artifact Slot"
"HUD_ArtifactDrop"  "{s:player_name} has unlocked an artifact: <font color=\"#c092fd\">{s:locstring_value}</font>"
"HUD_ArtifactDrop_Exp"  "{s:player_name} has re-unlocked an artifact: <font color=\"#c092fd\">{s:locstring_value}</font>, converted to <font color=\"#f0ad4e\">{s:locstring_value2}</font> artifact experience"


"HUD_Rune_Description" "<font color=\"#8bb6ff\">Description</font>: After equipping a rune, the ability of this skill will be enhanced:"


"HUD_Rune_Bonus_Title" "<font color=\"#8bb6ff\">Bonus</font>:" 

"HUD_Rune_Type_Bonus_Title" "<font color=\"#8bb6ff\">Activation Effect</font>:" 

"HUD_Rune_Type_Particle_Title" "<font color=\"#e2776d\">Special Effects Engraving</font>:"
"HUD_Rune_Modify_Count" "Times Modified:"
"HUD_Rune_Modify_Count_Label" "Times Modified: <font color=\"#ffffff\">{s:modify_count}</font>"


/////////////////////////////////////////////// Common Quality: Level Requirement 6 //////////////////////////////////////////
"DOTA_Tooltip_ability_item_hd_woodknife_effects"	"Wilderness Blade"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_main_ability_title"	"Passive: Bonus Attack"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_main_ability"	"Grants %bonus_attack% bonus attack damage."  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_Lore"	"What in the world is the ancient Wild Grove!?"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_bonus_attack_speed"	"+$attack"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_1"	"【Ancient Quality】 Grants an additional %attack_speed_1% attack speed"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_2"	"【Gemstone: Gem of Freedom】 Reduces the level requirement of this relic by %additional_2_level_require%."  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_3"	"【Primordial Quality】 Grants an additional %attack_3% attack damage"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_4"	"【Kadesh's Despair】 Grants %atb_4% bonus to all attributes"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_7"	"【Toxic Strike】 Attacks apply a poison equal to full attack damage × %poison_7%%%"  
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_10"	"【Wrath of the Nephalem】Toxic Attack multiplier increased to %poison_10%%%, innate attack cleave multiplier for heroes increased by %cleave_10%%% [+]"

"DOTA_Tooltip_ability_item_hd_normal_amulet_effects"	"Jade Pendant"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_main_ability_title"	"Passive: Arcane Power"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_main_ability"	"Restores %mana% mana after casting a spell with cooldown longer than %cd_line% seconds."  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_Lore"	"The magical power of earth, air, spirits, and water."  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_bonus_spell_amp"	"%+$spell_amp"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_1"	"【Cat's Eye】 Grants an additional %atb_1% to all attributes"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_2"	"【Topaz】 <font color='#9370db'>Arcane Power</font> restores %mana_2% mana and half that amount in health"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_3"	"【Jade Dew】 Grants an additional %spell_amp_3%%% spell amplification"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_4"	"【Trapiche】 When removing this relic, if there is still a skill slot available, you learn <font color='#9370db'>Third Rune - Tyr</font>"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_7"	"【Rainbow Emerald】 Every %interval_7% seconds, restores %regen_7%%% of your missing health or mana, whichever has the lower percentage remaining"  
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_10" "【Pinnacle Perfection】<font color='#9370db'>Magic Power</font> effect triggers twice, <font color='#9370db'>Iridescent Jade</font> cooldown reduced to %interval_10% seconds"

"DOTA_Tooltip_ability_item_hd_song_shield_effects"	"Kleihske Shield"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_main_ability_title"	"Passive: Wall of the Heart"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_main_ability"	"Grants up to %armor% armor and %magic_res%%% magic resistance based on missing health percentage."  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_Lore"	"'People will forget. Everything will fade.'"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_bonus_health"	"+$health"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_1"	"【Secret】 Passively grants %incoming_1%%% damage reduction"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_2"	"【Speak Through Results】 Movement speed increased by %move_2%%% and gains additional %incoming_2%%% damage reduction when health drops below %line_2%%%"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_3"	"【The Curtain Falls】 <font color='#9370db'>Wall of the Heart</font> always grants at least %armor_3% armor and %magic_res_3%%% magic resistance"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_4"	"【Abandon What Is Done, Pursue What Is Not】 <font color='#9370db'>Support</font> and <font color='#9370db'>Stone Skin</font> grant an additional %incoming_4%%% damage reduction when used on you.<br><br>When not under <font color='#9370db'>Stone Skin</font> or <font color='#9370db'>Support</font>, <font color='#9370db'>Wall of the Heart</font> grants an additional %armor_4% armor and %magic_res_4%%% magic resistance"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_7"	"【Through This Pain, We Reach the Stars】 Grants %status_7%%% status resistance"  
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_10" "【Pinnacle Perfection】<font color='#9370db'>Let Results Speak</font> is permanently active, the minimum threshold for <font color='#9370db'>It's Over</font> increased to %armor_10% Armor and %magic_res_10%%% Magic Resistance"

"DOTA_Tooltip_ability_item_hd_woodarrow_effects"	"Thorned Bow of the Grove"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_main_ability_title"	"Passive: Thorn Shot"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_main_ability"	"Ranged only: Basic attacks fire a piercing shot at up to %max% enemies within attack range, dealing a bonus attack <font color='#F0FFFF'>【No orb effects, attack modifiers; no cleave, splash】</font>."  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_Lore"	"A common weapon among forest rangers — simple, lightweight, and fast to use."  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_bonus_damage"	"+$damage"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_1"	"【Powerful Shot】 Grants an additional %bonus_attack_1% attack damage"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_2"	"【Skilled User】 Reduces the level requirement of this relic by %additional_2_level_require%"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_3"	"【Stealthy Shot】 Reduces the level requirement of this relic by %additional_3_level_require%, grants an additional %bonus_attack_speed_3% attack speed"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_4"	"【Precision Tips】 Passively grants %bonus_no_armor_4% armor penetration, and <font color='#9370db'>Thorn Shot</font> can trigger orb effects and attack modifiers"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_7"	"【Ranger’s Marksmanship】 Grants an additional %attack_speed_7% attack speed"  
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_10" "【Pinnacle Perfection】<font color='#9370db'>Spiked Shot</font> stack limit increased to %max_10% stacks, damage multiplier increased to %damage_10%%%"

/////////////////////////////////////////////// Rare Quality: Level Requirement 12 //////////////////////////////////////////

"DOTA_Tooltip_ability_item_hd_treasure_finder_effects"	"Curved Moon"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_main_ability_title"	"Passive: Imaginary Detection"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_main_ability"	"Every %interval% seconds, randomly marks a single location within %radius% range of you. When an allied hero enters the location, they receive gold equal to their hero level × %gold_lvl%."  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_Lore"	"A mysterious treasure-finding machine that reveals hidden riches under moonlight. Could it have any connection to the legendary Astra院..."  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_bonus_vision"	"+$vision"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_1"	"【Intelligence Sharing】 Regardless of who enters the location, the wearer receives %index_1%%% of the gold obtained"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_2"	"【Deep Prospecting】 Increases gold reward to hero level × %gold_lvl_2%"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_3"	"【Resource Discovery】 Gaining gold also grants one charge of a Magic Wand"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_4"	"【Deep Prospecting+】 Increases gold reward to hero level × %gold_lvl_4%"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_7"	"【Deep Prospecting++】 Increases gold reward to hero level × %gold_lvl_7%"  
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_10" "【Pinnacle Perfection】When creating a marker, there is a %chance_10%% chance to create a random type of protective circle at the marked location."

"DOTA_Tooltip_ability_item_hd_holy_staff_effects"	"Glowing Rod"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_main_ability_title"	"Passive: Radiance"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_main_ability"	"Every %interval% seconds, blesses all allied heroes permanently granting %atb% points of all attributes, up to %atb_max%.<br><br>Only for <font color='#ffa075'>Radiant</font> role: Gains additional %ass_atb% all attributes, and the all attribute gain from <font color='#9370db'>Radiance</font> increases by %atb_index%%%."  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_Lore"	"It is said that its design was inspired by Lathander's Blood, only more formalized."  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_bonus_all_attribute"	"+$all_attribute"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_1"	"【Eternal Glow】 <font color='#9370db'>Radiance</font> also grants %cost_get_1% trigger points, and the interval decreases to %interval_1% seconds"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_2"	"【Radiance Empowerment】 Only for <font color='#ffa075'>Radiant</font> role: Your applied <font color='#9370db'>Transmute</font> is also affected by your positive duration amplification"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_3"	"【Blessing of Light】 Your <font color='#9370db'>Stone Skin</font> and <font color='#9370db'>Support</font> will cast on all allied heroes, but the duration for non-primary targets is only %duration_3%%%"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_4"	"【Best Supporter】 Only for <font color='#ffa075'>Radiant</font> role: Gains low attack priority status, and this item’s level requirement is reduced by %additional_4_level_require%"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_7"	"【Limit Break】 Increases the cap of <font color='#9370db'>Radiance</font> to %atb_max_7% all attributes"  
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_10" "【Pinnacle Perfection】<font color='#9370db'>Radiance</font> also permanently grants allies %profic_10%%% Proficiency, stacking up to %profic_max_10% times"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_lv100" "Radiance - LV100"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_lv100_Description" "Proficiency increased"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_buff"	"Radiance"  
