


"DOTA_Tooltip_modifier_lifeseeker_lifesteal"                   "Bloodthirsty"
"DOTA_Tooltip_modifier_lifeseeker_lifesteal_Description"       "Attacks have %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal" 



"DOTA_Tooltip_modifier_chaotic_era_assassin"                   "Assassin"
"DOTA_Tooltip_modifier_chaotic_era_assassin_Description"       "Only becomes visible when within %dMODIFIER_PROPERTY_TOOLTIP% distance of an enemy" 



"DOTA_Tooltip_modifier_chaotic_era_thirsty_furblog"                   "Hunger Attack"
"DOTA_Tooltip_modifier_chaotic_era_thirsty_furblog_Description"       "Increases attack damage by %dMODIFIER_PROPERTY_TOOLTIP% with each attack" 





"DOTA_Tooltip_modifier_chaotic_era_sharp_tooth_raider"                   "Fangs Attack"
"DOTA_Tooltip_modifier_chaotic_era_sharp_tooth_raider_Description"       "Attacks can reduce target's armor by %dMODIFIER_PROPERTY_TOOLTIP%" 





"DOTA_Tooltip_modifier_chaotic_era_undying"                   "Death Resistance"
"DOTA_Tooltip_modifier_chaotic_era_undying_Description"       "Upon receiving fatal damage, it can regenerate %dMODIFIER_PROPERTY_TOOLTIP%% of max health, and this effect can trigger multiple times until the allotted number of uses is exhausted" 






"DOTA_Tooltip_modifier_chaotic_era_lava_attack"                   "Lava Attack"
"DOTA_Tooltip_modifier_chaotic_era_lava_attack_Description"       "Attacks can cause %dMODIFIER_PROPERTY_TOOLTIP% radius of %dMODIFIER_PROPERTY_TOOLTIP%%% splash damage in an area" 


"DOTA_Tooltip_modifier_chaotic_era_sea_attack"                   "Iron Tail"
"DOTA_Tooltip_modifier_chaotic_era_sea_attack_Description"       "Gain %dMODIFIER_PROPERTY_TOOLTIP% points of attack armor penetration. If the target's armor is below %dMODIFIER_PROPERTY_TOOLTIP%, it also causes a stun for %fMODIFIER_PROPERTY_TOOLTIP% seconds."

"DOTA_Tooltip_modifier_chaotic_era_acid_attack"                   "Brine Erosion"
"DOTA_Tooltip_modifier_chaotic_era_acid_attack_Description"       "Attacks reduce the target's armor by %dMODIFIER_PROPERTY_TOOLTIP% points and decrease evasion by %fMODIFIER_PROPERTY_TOOLTIP%%%. The duration is refreshed on each hit and lasts for %dMODIFIER_PROPERTY_TOOLTIP% seconds. Can be weakly dispelled."
"DOTA_Tooltip_modifier_chaotic_era_acid_attack_debuff"                   "Brine Erosion"
"DOTA_Tooltip_modifier_chaotic_era_acid_attack_debuff_Description"       "Armor reduced by %dMODIFIER_PROPERTY_TOOLTIP% points, evasion decreased by %fMODIFIER_PROPERTY_TOOLTIP%%%. Can be weakly dispelled."

"DOTA_Tooltip_modifier_chaotic_era_ice_attack"                   "Ice Crystal Attack"
"DOTA_Tooltip_modifier_chaotic_era_ice_attack_Description"       "Attacks cause the target to take %dMODIFIER_PROPERTY_TOOLTIP%%% more damage, lasting for %MODIFIER_PROPERTY_TOOLTIP% seconds."
"DOTA_Tooltip_modifier_chaotic_era_ice_attack_debuff"                   "Fragile Ice Crystal"
"DOTA_Tooltip_modifier_chaotic_era_ice_attack_debuff_Description"       "Increases damage taken by %fMODIFIER_PROPERTY_TOOLTIP%%%."

"DOTA_Tooltip_modifier_chaotic_era_chaotic_executive"                   "Chaotic Execution"
"DOTA_Tooltip_modifier_chaotic_era_chaotic_executive_Description"       "Attacks can apply a debuff effect to the target, lasting for %dMODIFIER_PROPERTY_TOOLTIP% seconds. Each stack reduces the target's final damage by %dMODIFIER_PROPERTY_TOOLTIP%%%, and the duration is calculated independently, stacking with each application." 

"DOTA_Tooltip_modifier_chaotic_era_chaotic_executive_debuff"                   "Chaotic Execution"
"DOTA_Tooltip_modifier_chaotic_era_chaotic_executive_debuff_Description"       "Outgoing damage reduced by %dMODIFIER_PROPERTY_TOOLTIP%%%" 




"DOTA_Tooltip_modifier_chaotic_era_super_boxing"                   "Serious Punch"
