

"HUD_PotionBagTitle"   "Potion Bag"

"HUD_Potion_count"  "Count:{s:count}"

"HUD_Potion_Info_1"  "Potions do not occupy inventory slots and are stored in a potion bag, which can be used at any time."



"HUD_Potion_Error_1"  "Out of stock"
"HUD_Potion_Error_2"  "Cannot be used while in a dead state"


// 初级、中级、上级、圣级、王级、帝级、神级


"hd_potion_healing_1"   "LEVEL1 Health Potion"
"hd_potion_healing_1_info"   "Immediately restores <value1> of your health. Considered as healing."
"hd_potion_healing_2"   "LEVEL2 Health Potion"
"hd_potion_healing_2_info"   "Immediately restores <value1> of your health. Considered as healing."
"hd_potion_healing_3"   "LEVEL3 Health Potion"
"hd_potion_healing_3_info"   "Immediately restores <value1> of your health. Considered as healing."
"hd_potion_healing_4"   "LEVEL4 Health Potion"
"hd_potion_healing_4_info"   "Immediately restores <value1> of your health, considered as healing. Also, gain a regen gain buff for <duration> seconds, during which your health regeneration is increased by <value2>%."
"hd_potion_healing_5"   "LEVEL5 Health Potion"
"hd_potion_healing_5_info"   "Immediately restores <value1> of your health, considered as healing. Also, gain a regen gain buff for <duration> seconds, during which your health regeneration is increased by <value2>%."



"DOTA_Tooltip_modifier_hd_potion_healing_4_bonus"                   "Health Regen Gain"
"DOTA_Tooltip_modifier_hd_potion_healing_4_bonus_Description"       "Health regeneration increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_hd_potion_healing_5_bonus"                   "Health Regen Gain"
"DOTA_Tooltip_modifier_hd_potion_healing_5_bonus_Description"       "Health regeneration increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 




"hd_potion_regen_mana_1"   "LEVEL1 Mana Potion"
"hd_potion_regen_mana_1_info"   "Immediately restores <value1> of your mana. "
"hd_potion_regen_mana_2"   "LEVEL2 Mana Potion"
"hd_potion_regen_mana_2_info"   "Immediately restores <value1> of your mana. "
"hd_potion_regen_mana_3"   "LEVEL3 Mana Potion"
"hd_potion_regen_mana_3_info"   "Immediately restores <value1> of your mana. "
"hd_potion_regen_mana_4"   "LEVEL4 Mana Potion"
