"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Primary_fire_blast_Description"	"Наносит огненный урон цели и оглушает."
"DOTA_Tooltip_ability_Primary_fire_blast_Lore"	"Одно из самых простых заклинаний, которое может выучить даже новичок. При постоянном использовании, возможно, контроль над элементом огня станет еще лучше."
"DOTA_Tooltip_ability_Primary_fire_blast_spell_damage"	"Основной урон "
"DOTA_Tooltip_ability_Primary_fire_blast_stun_time"	"Время оглушения "
"DOTA_Tooltip_ability_Primary_fire_blast_intelligence_index"	"Множитель интеллекта "

"DOTA_Tooltip_ability_Primary_Magic_Missile"	"Primary Magic Missile"
"DOTA_Tooltip_ability_Primary_Magic_Missile_Lore"	"Одна из магий первого уровня, которым обучают новичков в Зале волшебства, простая в освоении, но не очень эффективная, но кажется, что она даст хорошие результаты после того, как ее освоят?"
"DOTA_Tooltip_ability_Primary_Magic_Missile_Description"	"использованияет в цель зачарованную стрелу, наносящую урон и оглушающую."
"DOTA_Tooltip_ability_Primary_Magic_Missile_spell_damage"	"Основной урон "
"DOTA_Tooltip_ability_Primary_Magic_Missile_intelligence_index"	"Множитель интеллекта "
"DOTA_Tooltip_ability_Primary_Magic_Missile_stun_time"	"Время оглушения "
"DOTA_Tooltip_ability_Primary_Fireball"	"Primary Fireball"
"DOTA_Tooltip_ability_Primary_Fireball_Lore"	"Предшественником Fire Blast является просто Fireball, который не имеет влияния Fire Blast, но относительно не влияет на поглощение элемента заклинания, чтобы это заклинание могло поджечь своих врагов."
"DOTA_Tooltip_ability_Primary_Fireball_Description"	"Выпустить в цель огненный шар, вызывающий эффект воспламенения."
"DOTA_Tooltip_ability_Primary_Fireball_intelligence_index"	"Коэффициент интеллекта непрерывного урона"
"DOTA_Tooltip_ability_Primary_Fireball_Injury_interval"	"Интервал урона "
"DOTA_Tooltip_ability_Primary_Fireball_duration"	"Продолжительность "
"DOTA_Tooltip_ability_Primary_Fireball_effect_duration"	"Продолжительность эффекта "
"DOTA_Tooltip_ability_Middle_Fireblast"	"Middle Fire Blast"
"DOTA_Tooltip_ability_Middle_Fireblast_Description"	"Создает вспышку огня с центром в цели, нанося урон и оглушая ее."
"DOTA_Tooltip_ability_Middle_Fireblast_Lore"	"Как говорится: можно научиться, тысячу раз наблюдая за обезьяной. Используйте первичный взрыв пламени один раз в день, и вы сможете понять его истинный смысл спустя долгое время."
"DOTA_Tooltip_ability_Middle_Fireblast_spell_damage"	"Основной урон "
"DOTA_Tooltip_ability_Middle_Fireblast_intelligence_index"	"Множитель интеллекта "
"DOTA_Tooltip_ability_Middle_Fireblast_stun_time"	"Время оглушения "


"DOTA_Tooltip_ability_Middle_Fireblast_range"	"Дальность действия "

"DOTA_Tooltip_ability_Primary_Chain_frost"	"Primary Chain frost"

"DOTA_Tooltip_ability_Primary_Chain_frost_Description"	"использованияет сферу льда, которая несколько раз прыгает между врагами, нанося урон и замедляя каждый раз, когда попадает в врага."
"DOTA_Tooltip_ability_Primary_Chain_frost_Lore"	"Это заклинание высокого уровня в основной магии, которое может вызывать сильную стихию льда. Легендарный Король-лич использовал морозную цепь высокого качества, которая могла изменить температуру всей области. Хотя сила первого уровня относительно слаба, он также может выведать из него часть своей истинной силы."
"DOTA_Tooltip_ability_Primary_Chain_frost_Note0"	"Дальность применения не влияет на дальность отскока, но есть некоторые улучшающие навыки, которые могут ее улучшить."
"DOTA_Tooltip_ability_Primary_Chain_Frost_spell_damage"	"Основной урон "
"DOTA_Tooltip_ability_Primary_Chain_Frost_intelligence_index"	"Множитель интеллекта "
"DOTA_Tooltip_ability_Primary_Chain_Frost_Number_of_Bounces"	"Количество отскоков "
"DOTA_Tooltip_ability_Primary_Chain_Frost_Bounce_Distance"	"Расстояние отскока "
"DOTA_Tooltip_ability_Primary_Chain_Frost_effect_slow(%)"	"Скорость передвижения (%)"
"DOTA_Tooltip_ability_Primary_Chain_Frost_Attack_Speed_Slow"	"Скорость атаки снижена "
"DOTA_Tooltip_ability_Primary_Chain_Frost_effect_duration"	"Время действия "
"DOTA_Tooltip_ability_Primary_Arc_Lightning_clone_intelligence_index"	"Множитель интеллекта "
"DOTA_Tooltip_ability_Primary_Arc_Lightning_clone_Number_of_Bounces"	"Количество отскоков "
"DOTA_Tooltip_ability_Primary_Arc_Lightning_clone_Bounce_Distance"	"Расстояние отскока "
"DOTA_Tooltip_ability_Advanced_Void_time_walk_Description"	"Быстро перемещайтесь в указанное место и открывайте временные разломы по пути, сводя на нет весь урон, полученный вами за последние 2 секунды.<br><font color=\"#777777\">This spell book can be dropped by defeating the corresponding boss who has this spell</font><br><br>[Crack Tear] Воруя время прохождения врагов, каждый враг снизит  скорость передвижения на 150 и преобразует ее в вашу скорость передвижения на 5%% и скорость атаки 20 на 7 секунд.<br><br>[Ускорение времени] После использования время восстановления всех умений с оставшимся временем восстановления больше 2 сокращается на 2 секунды (за исключением себя)."




"DOTA_Tooltip_ability_Advanced_Void_time_walk"	"Advanced Time Walk"

"DOTA_Tooltip_ability_Advanced_Void_time_walk_Lore"	"Высвободите силу Темного Страха, разорвите время и пространство и путешествуйте по ультрамикроскопическому горизонту.В качестве высокоуровневого навыка системы времени им могут овладеть только люди, получившие благосклонность Бога Творения."
"DOTA_Tooltip_ability_Advanced_Void_time_walk_chrono_radius"	"Радиус трещин: "
"DOTA_Tooltip_ability_Advanced_Void_time_walk_range"	"Максимальное расстояние: "

"DOTA_Tooltip_ability_Advanced_Chronosphere"	"Advanced Chronosphere"
"DOTA_Tooltip_ability_Advanced_Chronosphere_Lore"	"Когда появится трещина в межпространственном горизонте, все несчастные души, пойманные в нее, будут освобождены от искупления."
"DOTA_Tooltip_ability_Advanced_Chronosphere_base_radius"	"Базовый радиус: "
"DOTA_Tooltip_ability_Advanced_Chronosphere_base_duration"	"Длительность: "
"DOTA_Tooltip_ability_Advanced_Chronosphere_Description"	"Создайте временной барьер, окружающий всех находящиеся в нем юнитов.<br><font color=\"#777777\">This spell book can be dropped by defeating the corresponding boss who has this spell</font><br><br>[Повелитель времени] Каждое очко ловкости может увеличить Дальность действия на 2. Когда дополнительный Дальность превышает 1000, каждые 100 очков будут преобразованы в дополнительную 1 секунду продолжительности. (до дополнительных 6 секунд)<br><br>[Суперпространство] Каждый раз, когда заклинатель находится во Временном Барьере, его скорость атаки увеличивается на 10 единиц."


"DOTA_Tooltip_ability_Advanced_Time_Drain"	"Advanced Time Drain"


