


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage"	"Momentary Blink"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage_Description"	"Gains %bonus_attack_speed% bonus attack speed and replaces move commands with blinks. Lasts %duration% seconds.\n<font color=\"#606060\">Blinks from this talent will evade all homing projectiles; <br>Blinks from this talent ignore entanglements.</font>"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage_Lore"	"В своей встрече со Смертью Антимаг понял, как важно быть непредсказуемым."


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_monkey_king"	"Метод палочки"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_monkey_king_Description"	"Атака Короля обезьян может пробудить силу Золотого обруча Жуйи. Пассивно получаете бонус к дальности атаки 200.<br><br>При времени перезарядки умения не более 6 секунд дальность атаки будет увеличена на 200 единиц, и будет получен бонус Сила атаки 100+20*раундов."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_monkey_king_Lore"	"Золотая палочка-обруч может остро ощущать эмоции владельца и излучает силу, когда Сунь Укун показывает свой боевой дух."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_faceless_void"	"Сдвиг времени"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_faceless_void_Description"	"Когда Маска Бездны получает урон, превышающий Здоровье 5%% от себя, его временная точка смещается, а урон отменяется."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_faceless_void_Lore"	"Для обычных людей время необратимо, но для Маски Бездны Тёмного Страха время — это точка в двухмерном пространстве, которая может свободно перемещаться."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sven_2"	"Large Sword of the Night Watcher"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sven_2_Description"	"Sven interweaves the use of his Greatsword - Vigil, passively gaining %bonus_damage% * hero level points of attack damage. Upon cooldown completion, his attacks also strike up to %limit% additional enemies within a %radius% radius around the target (triggering attack effects). Each attack reduces this skill's cooldown by %CDreduce% seconds."
