

"DOTA_Tooltip_ability_first_test"	"英雄技能-初阶"
"DOTA_Tooltip_ability_first_test_Description"	"对对方造成伤害"
"DOTA_Tooltip_ability_first_test_Lore"	"对对方造成伤害1"
"DOTA_Tooltip_ability_first_test_Note0"	"对对方造成伤害2"
"DOTA_Tooltip_ability_first_test_Note1"	"对对方造成伤害3"
"DOTA_Tooltip_ability_first_test_Note2"	"对对方造成伤害4"
"DOTA_Tooltip_ability_first_test_stun_time"	"1 2 3 4"
"DOTA_Tooltip_ability_first_test_slow_time"	"1 2 3 4"
"DOTA_Tooltip_ability_first_test_con_damage"	"10 20 30 40"
"DOTA_Tooltip_ability_Primary_fire_blast"	"初阶火焰爆轰"
"DOTA_Tooltip_ability_Primary_fire_blast_Description"	"对目标施加一次火焰伤害，并造成眩晕。"
"DOTA_Tooltip_ability_Primary_fire_blast_Lore"	"最基础的法术之一，即使是一个初学法术的蠢蛋也能学会。通过不断的使用，或许对火元素的掌控会更上一层也说不准。"
"DOTA_Tooltip_ability_Primary_fire_blast_spell_damage"	"基础伤害"
"DOTA_Tooltip_ability_Primary_fire_blast_stun_time"	"眩晕时间"
"DOTA_Tooltip_ability_Primary_fire_blast_intelligence_index"	"智力乘数"
"DOTA_Tooltip_ability_first_test_clone"	"英雄技能-待完成"
"DOTA_Tooltip_ability_first_test_clone_Description"	"对对方造成伤害"
"DOTA_Tooltip_ability_first_test_clone_Lore"	"对对方造成伤害1"
"DOTA_Tooltip_ability_first_test_clone_Note0"	"对对方造成伤害2"
"DOTA_Tooltip_ability_first_test_clone_Note1"	"对对方造成伤害3"
"DOTA_Tooltip_ability_first_test_clone_Note2"	"对对方造成伤害4"
"DOTA_Tooltip_ability_first_test_clone_stun_time"	"1 2 3 4"
"DOTA_Tooltip_ability_first_test_clone_slow_time"	"1 2 3 4"
"DOTA_Tooltip_ability_first_test_clone_con_damage"	"10 20 30 40"
"DOTA_Tooltip_ability_Primary_Magic_Missile"	"初阶魔法箭"
"DOTA_Tooltip_ability_Primary_Magic_Missile_Lore"	"奥术殿堂里教给初学奥术的菜鸟们的初阶魔法之一，易学却作用不大，但似乎熟练运用后也会产生不错的效果？"
"DOTA_Tooltip_ability_Primary_Magic_Missile_Description"	"对目标发射一条附魔的箭矢，造成伤害与眩晕效果。"
"DOTA_Tooltip_ability_Primary_Magic_Missile_spell_damage"	"基础伤害"
"DOTA_Tooltip_ability_Primary_Magic_Missile_intelligence_index"	"智力乘数"
"DOTA_Tooltip_ability_Primary_Magic_Missile_stun_time"	"眩晕时间"
"DOTA_Tooltip_ability_Primary_Fireball"	"初阶火球术"
"DOTA_Tooltip_ability_Primary_Fireball_Lore"	"火焰爆轰的前身只是火球术，它没有如同火焰爆轰的冲击力，但相对的没有冲击去消耗法术的元素使得这个法术可以点燃它的敌人。"
"DOTA_Tooltip_ability_Primary_Fireball_Description"	"释放一个火球飞向目标，造成点燃效果。"
"DOTA_Tooltip_ability_Primary_Fireball_intelligence_index"	"持续伤害智力系数"
"DOTA_Tooltip_ability_Primary_Fireball_Injury_interval"	"伤害间隔"
"DOTA_Tooltip_ability_Primary_Fireball_duration"	"点燃时间"
"DOTA_Tooltip_ability_Primary_Fireball_effect_duration"	"点燃时间"
"DOTA_Tooltip_ability_Middle_Fireblast"	"中阶火焰爆轰"
"DOTA_Tooltip_ability_Middle_Fireblast_Description"	"以目标为中心点造成一次火焰爆轰，产生范围内伤害与眩晕。"
"DOTA_Tooltip_ability_Middle_Fireblast_Lore"	"常言道：看了一千遍猴子都可以学会。每天使用一次初阶的火焰爆轰，时间长了也可以领悟其真谛。"
"DOTA_Tooltip_ability_Middle_Fireblast_spell_damage"	"基础伤害"
"DOTA_Tooltip_ability_Middle_Fireblast_intelligence_index"	"智力乘数"
"DOTA_Tooltip_ability_Middle_Fireblast_stun_time"	"眩晕时间"

"DOTA_Tooltip_ability_Middle_Fireblast_range"	"作用范围"
"DOTA_Tooltip_ability_Primary_Chain_frost"	"初阶连环霜冻"
"DOTA_Tooltip_ability_Primary_Chain_frost_Description"	"释放一个在敌人间弹跳数次的霜冻之球，每次击中敌人后都会造成伤害和减速效果。"
"DOTA_Tooltip_ability_Primary_Chain_frost_Lore"	"在初阶魔法中属于高等级的法术，可以引导出强烈的冰元素。传说中巫妖王所使用的高等级的连环霜冻可以改变一整个区域的温度。而初阶的威力虽说较为弱小，却也可以从中窥探出其本来面目的一部分神力。"
"DOTA_Tooltip_ability_Primary_Chain_frost_Note0"	"施法距离不会影响弹射的距离，但有一部分强化形技能可以提升它。"
"DOTA_Tooltip_ability_Primary_Chain_Frost_spell_damage"	"基础伤害"
"DOTA_Tooltip_ability_Primary_Chain_Frost_intelligence_index"	"智力乘数"
"DOTA_Tooltip_ability_Primary_Chain_Frost_Number_of_Bounces"	"弹跳次数"
"DOTA_Tooltip_ability_Primary_Chain_Frost_Bounce_Distance"	"弹跳距离"
"DOTA_Tooltip_ability_Primary_Chain_Frost_effect_slow(%)"	"移动速度减缓(%)"
"DOTA_Tooltip_ability_Primary_Chain_Frost_Attack_Speed_Slow"	"攻击速度减缓"
"DOTA_Tooltip_ability_Primary_Chain_Frost_effect_duration"	"状态作用时间"
"DOTA_Tooltip_ability_Primary_Arc_Lightning_clone_intelligence_index"	"智力乘数"
"DOTA_Tooltip_ability_Primary_Arc_Lightning_clone_Number_of_Bounces"	"弹跳次数"
"DOTA_Tooltip_ability_Primary_Arc_Lightning_clone_Bounce_Distance"	"弹跳距离"
