

"DOTA_Tooltip_ability_nil_skill_2"	"------AI技能-------"
"DOTA_Tooltip_ability_nil_skill_2_Description"	"抗拒敌人对自己的攻击，当敌人抬手攻击时会减少攻击速度。\n【抗拒增幅】敌人如果攻击到自己，那么由此技能提供的减速效果会在10秒内提升5%%，独立计算时间可叠加。\n【魔力抗拒】敌人的魔法伤害如果伤害到自己，那么在20秒内其施法前摇增加75%，独立计算时间可叠加。这个效果3秒内对同个单位只会施加一次效果。"


"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Ranger"	"群居-弓箭手"
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Ranger_Description"	"每个弓箭手提供范围的攻击力加成。"
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Ranger_Lore"	"哥布林总是聚团行动。"
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Ranger_bonus"	"%攻击力加成："
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Melee"	"群居-卫士"
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Melee_Description"	"每个卫士提供范围防御加成"
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Melee_Lore"	"哥布林总是聚团行动。"
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Melee_bonus"	"防御加成："
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Melee_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_WeLiveTogether_Ranger_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike"	"狂怒重击"
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_Description"	"经过1.5秒蓄力后对周围一定范围内的敌人造成一次物理伤害，并减缓其移动速度一段时间。"
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_Lore"	"在军团里，它们是脾气最大的一个氏族。"
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_damage"	"伤害攻击力系数："
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_move_slow"	"%移速减缓："
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_duration"	"持续时间："

"DOTA_Tooltip_ability_creeps_spell_callous"	"冰疗护盾"
"DOTA_Tooltip_ability_creeps_spell_callous_Description"	"使一个友军获得寒冰护盾，减少受到的伤害并持续受到治疗。"
"DOTA_Tooltip_ability_creeps_spell_callous_Lore"	"蓝熊们常年栖息在冰原上，有着独特的冰之呼吸法。"
"DOTA_Tooltip_ability_creeps_spell_callous_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_callous_incoming"	"%伤害减免："
"DOTA_Tooltip_ability_creeps_spell_callous_losehp_heal"	"%每秒已损失生命值治疗："
//"DOTA_Tooltip_ability_creeps_spell_callous_move_slow"	"%移速减缓："
//"DOTA_Tooltip_ability_creeps_spell_callous_attack_slow"	"攻速减缓："
//"DOTA_Tooltip_ability_creeps_spell_callous_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_callous_Note0"	"额外的说明：<br>熊怪倾向于对600范围内最远的一个没有该状态的友方单位添加护盾。<br>该技能还有0-5秒（整数）的随机额外冷却时间。"

"DOTA_Tooltip_ability_creeps_spell_Excitation"	"激励"
"DOTA_Tooltip_ability_creeps_spell_Excitation_Description"	"增加周围300范围内友军的攻击与移动速度。"
"DOTA_Tooltip_ability_creeps_spell_Excitation_Lore"	"黄熊怪是军团中占据领袖位置最多的。"
"DOTA_Tooltip_ability_creeps_spell_Excitation_bonus"	"防御加成："
"DOTA_Tooltip_ability_creeps_spell_Excitation_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Excitation_bonus_attack"	"攻速奖励："
"DOTA_Tooltip_ability_creeps_spell_Excitation_bonus_move"	"%移速奖励："
"DOTA_Tooltip_ability_creeps_spell_Evil"	"诅咒"
"DOTA_Tooltip_ability_creeps_spell_Evil_Description"	"诅咒杀死自己的敌人，使其减速且受到伤害增加，可叠加独立计算时间。"
"DOTA_Tooltip_ability_creeps_spell_Evil_Lore"	"黑色熊怪们对黑魔法略有研究，同时它们自身也被诅咒了，如果有人杀害它们，这个诅咒会转移到加害者身上。"

"DOTA_Tooltip_ability_creeps_spell_Evil_bonus_attack"	"攻速奖励："
"DOTA_Tooltip_ability_creeps_spell_Evil_bonus_move"	"%移速奖励："
"DOTA_Tooltip_ability_creeps_spell_Evil_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Evil_damage_increase"	"%受到伤害增加："
"DOTA_Tooltip_ability_creeps_spell_Evil_move_slow"	"%移动减缓："
"DOTA_Tooltip_ability_creeps_spell_Evil_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic"	"毒素残留"
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_Description"	"死亡后留下一滩毒水，每秒造成敌人最大生命值百分比的伤害且破坏范围内敌人的被动技能。"
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_Lore"	"绿熊怪们平时喜食毒物，在它们死亡后会将自身的积累的毒素扩散出去，它们一族以自身的载毒量大小为豪。"
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_damage_increase"	"%受到伤害增加："
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_move_slow"	"%移动减缓："
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_damage"	"%<font color=\"#5bc0de\">每秒伤害：最大生命值：</font>"
"DOTA_Tooltip_ability_creeps_spell_Hypertoxic_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Prey"	"捕食"
"DOTA_Tooltip_ability_creeps_spell_Prey_Description"	"经过五秒蓄力后扑向目标，造成攻击力伤害，如果在蓄力期间，目标背对了自己，略过等待时间并造成两倍伤害，且会使目标减速。"
"DOTA_Tooltip_ability_creeps_spell_Prey_damage"	"攻击力伤害倍数："
"DOTA_Tooltip_ability_creeps_spell_Prey_delay"	"蓄力时间："
"DOTA_Tooltip_ability_creeps_spell_Prey_move_slow"	"%移动减缓："
"DOTA_Tooltip_ability_creeps_spell_Prey_attack_slow"	"攻速减缓："
"DOTA_Tooltip_ability_creeps_spell_Prey_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Prey_Lore"	"上古庭院里的蜘蛛有很多种，其中捕食者是类似于工蜂的存在，但生性凶猛，它们会瞄准猎物伺机待发，如果猎物害怕逃走，便会在走向死亡的痛苦中陷入无尽的后悔。"
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater"	"食亲者"
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_Description"	"周围的每一只捕食者蜘蛛每隔5秒都会为自己增加一部分属性。"
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_Lore"	"食亲者们凭借着这一基因在竞争中拥有了相对优势，渐而发展壮大。"
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_Note0"	"额外的说明：当生命值成长至初始的12倍后停止成长。"
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_bonus"	"防御加成："
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_bonus_damage"	"提升攻击力："
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_bonus_health"	"提升生命值："
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_bonus_armor"	"提升护甲："
"DOTA_Tooltip_ability_creeps_spell_Relatives_Eater_healing"	"%最大生命值治疗："

"DOTA_Tooltip_ability_creeps_spell_Spawn"	"产卵"
"DOTA_Tooltip_ability_creeps_spell_Spawn_Description"	"产下数颗虫卵，经过一段时间后可以复活出捕食蜘蛛的幼体，比成体稍弱。"
"DOTA_Tooltip_ability_creeps_spell_Spawn_Lore"	"产卵者们可以分担女王的任务，但只能孵化出杂兵。"
"DOTA_Tooltip_ability_creeps_spell_Spawn_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Spawn_damage"	"伤害攻击力系数："
"DOTA_Tooltip_ability_creeps_spell_Spawn_move_slow"	"%移速减缓："
"DOTA_Tooltip_ability_creeps_spell_Spawn_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Spawn_number_min"	"最少虫卵："
"DOTA_Tooltip_ability_creeps_spell_Spawn_number_max"	"最多虫卵："
"DOTA_Tooltip_ability_creeps_spell_Spawn_spawn_time"	"孵化时间："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor"	"静电护甲"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Description"	"被动提高魔法抗性，累计受到一定伤害后会发动电场。\n电场：每受到最大生命值4%%的伤害后会进入3秒引导，随后对释放一个离子场，对触碰到的敌人造成自身攻击力*1.8的魔法伤害，来回两次，每触碰到一个敌人会获得攻击力*1的护盾，护盾效果持续30秒，这个效果进入第二阶段后失效，只保留魔法抗性加成。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Lore"	"成年体的雷肤兽会将不稳定电流场转化为稳定的静电护甲，更加强大，但需要一定时间进行引导。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Note0"	"额外的说明：<br>每次触发会将累计的伤害值清空，因此如果能一次性造成大量伤害会比较有利。但是结算后依然会积累伤害值，如果此时触发了技能，会略过引导时间触发上一次电场。<br>即使进入第二阶段，已就绪的电场仍会触发，但不会再累计伤害。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_bonus_damage"	"%提升攻击力："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_bonus_health"	"%提升生命值："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_bonus_armor"	"%提升护甲："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_healing"	"%最大生命值治疗："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike"	"天雷"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Description"	"每5秒检测周围范围内敌人，挑选一个距离自己最远的人对其位置引导雷电，在3秒后如果目标还在目标位置400范围内会降下天雷，受到魔法伤害，如果范围内的人数超过2人，目标还将额外受到物理伤害（主影响主目标）"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Lore"	"雷肤兽的皮肤可以隔绝电，也可以引导电，它们擅长于将落雷引导给他们的敌人。"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Note0"	"该技能是内置的冷却，不受冷却缩减影响。"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_bonus_health"	"%提升生命值："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_bonus_armor"	"%提升护甲："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_healing"	"%最大生命值治疗："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_radius"	"侦测范围："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Wave5"	"形态转变"
