"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"【折射+】折射次数加一"
"DOTA_Tooltip_ability_Advanced_laser_note_lv10"				"【热能集束+】减少至每两次施法"
"DOTA_Tooltip_ability_Advanced_laser_note_lv15"				"【寂静狩猎者】施法距离提升一倍，同时释放技能后有50%几率使冷却时间缩短一半"
"DOTA_Tooltip_ability_Advanced_laser_note_lv20"				"【战略部署】每经过15秒，将会搜寻周围1000范围的敌人自动释放一次激光"
"DOTA_Tooltip_ability_Advanced_laser_note_base_Info"      "伤害智力乘数：+0.15/级<br/>"
"DOTA_Tooltip_ability_Advanced_laser_note_lv25_1"				"【超级折射】折射次数加4，且折射将选取最近的目标"
"DOTA_Tooltip_ability_Advanced_laser_note_lv25_2"				"【激光矩阵】不再可以折射，但每名友方英雄都将对目标发出一次激光"
"DOTA_Tooltip_ability_Advanced_laser_note_lv25_3"				"【彗星亚兹勒】施法前摇增加至1秒，且将无法触发【战略部署】与【寂静狩猎者】，但冷却时间变为1秒，转变为4秒的持续施法，持续施法持续期间每秒对路径上的敌人造成一次激光伤害(以0.5秒一次伤害的频率)，并为所有敌人附加一半效果的致盲"



"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv5"				"【极速】速度提升增加至65%%"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv10"				"【共鸣+】持续时间提升至30秒"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv15"				"【三英战吕布】英灵战士加一"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv20"				"【常驻化】被动拥有一名英灵战士"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_base_Info"      "持续时间：+1/级<br/>"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv25_1"				"【不灭军阵】攻击有5%%几率召唤出一具持续5秒的英灵战士，同一时间最多具象化十具灵体(奖励攻击也可以触发)"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv25_2"				"【连阵】英灵战士的攻击有15%%触发一次连阵，召唤出第二种英灵战士，在延迟0.8秒后对本体面向方向的1000距离外发动一次斩击，对路径上的敌人造成全额攻击力*2的物理伤害"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv25_3"				"【奥尼克斯的降世之军】英灵战士数量加2，且攻击范围提升至4000，英灵战士距离本体越远移动速度将越快（不影响常驻化的灵体）"




"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv5"				"【沾墨+】减少冷却增加至层数*0.14"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv10"			"【命运轨迹+】最大伤害提升至智力*8"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv15"			"【连笔】墨迹到达终点时有50%%几率将对随机方向再画上一笔(连笔固定1200距离)"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv20"			"【连笔+】100%%触发连笔，第一次连笔结束后有50%%再次触发一次连笔"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_base_Info"      "基础伤害：+10/级<br/>伤害智力乘数：+0.08/级<br/>每个敌人递增伤害智力乘数：+0.01/级<br/>"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv25_1"				"【败笔】绘画挫败的痕迹，被命运之笔影响后的敌人将会在2秒内受到额外75%%的伤害，重复被影响将提高持续时间。不可驱散同时不被增益"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv25_2"				"【绘画世界】'连笔'次数固定到5，（但仍然受到英雄天赋影响）第一次触发时候进行进行一次分裂，同时提笔的节点如果与技能释放点的距离超过1500，那么将强制使下一个目标掉为释放点。"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv25_3"				"【塑身】命运之笔命中一名敌人后，将使用墨水塑造其身体构造，此后命运之笔将永久性对这个种类提高1%%的伤害，最高到达800%%"




"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv5"				"【六光连斩】剑气数量加2"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv10"			"【指甲刀+】剑气长度增加50%%，同时最多影响目标加2"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv15"			"【神闪】释放技能后1秒后将返回原地（附带一次斩击）"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv20"			"【神闪+】神闪触发完毕后再触发两次（最终还是会再原地）"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_base_Info"      "次级剑气基础伤害:+6/级<br/>次级剑气伤害敏捷乘数：+0.1/级<br/>"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv25_1"				"【极影之斩】'神闪'的触发次数提升至21，释放完成后将立即触发，并在1秒内完成所有斩击，最后一次将回归原点,但每次斩击最多影响3名敌人"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv25_2"				"【剑术专研】附加被动效果，每5次攻击可以发动一次不带位移的'神闪'，但最多影响五名敌人"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv25_3"				"【灭魂之斩】每次斩击效果都将使受到影响的敌人永久降低1护甲，但最多100"





"DOTA_Tooltip_ability_Advanced_Chakra_note_lv5"				"【快速冷却+】持续时间提升至15秒"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv10"			"【过度施法+】冷却时间仅为2倍"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv15"			"【集气】快速冷却状态作用期间，智力每秒提升1点"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv20"			"【集气+】变更为全属性"
"DOTA_Tooltip_ability_Advanced_Chakra_note_base_Info"      "魔法恢复：+20/级<br/>魔法恢复智力乘数：+0.1/级<br/>冷却时间减少：+0.3/级<br/>"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_1"				"【魔力宝库】在状态持续期间累计消耗的魔法值，在状态结束时可以使最大魔法提升相等的数值(最多两万)，持续至下一次被施加本技能，可被强驱散"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_2"				"【天之赠礼】目标的下一次技能伤害提高200%%，'过度施法'下为600%%，对于多段伤害的技能仅第一段伤害有用"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_3"				"【神灯赐福】获得被动效果，解锁即永久生效，即使出售技能也仍然存在。每隔一段时间自动许愿，使自身的力量/敏捷/智力随机一项加2，或生命值加50，或魔法值加25。固定间隔40秒，同时使用任意冷却时间大于3的技能可以加快2秒，仅战斗阶段计算，最多可以许愿200次，随后此奥义失效，技能回归正常状态，此时可以再次解锁奥义"






"DOTA_Tooltip_ability_Advanced_aftershock_note_lv5"				"【共鸣+】额外影响一个友军，同时作用范围提升100"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv10"			"【续震+】持续时间提升1秒，最大叠加次数加1"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv15"			"【共鸣++】1000范围内的友军释放技能时可以触发一次余震(但不触发共鸣)，触发后技能冷却增加1.5秒，冷却时间大于10秒时不触发"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv20"			"【共鸣+++】500范围内的敌军释放技能时触发余震（同共鸣++）,冷却时间增加2秒"
"DOTA_Tooltip_ability_Advanced_aftershock_note_base_Info"      "基础伤害：+10/级<br/>力量乘数：+0.04/级<br/>"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv25_1"				"【母星之声】地震产生时的时候可以触发余震,但只有最大威力的50%%，眩晕效果则为最大威力的10%%，根据是否为自己触发的地震触发对应的余震效果"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv25_2"				"【自然之怒】余震作用范围提升300，每次触发余震时，以施法者为中心向外200-900距离的随机两个点也会触发余震效果，且伤害完全叠加"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv25_3"				"【活跃期】'共鸣'不再有冷却"





"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv5"				"【复仇+】将计算全额攻击力"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv10"			"【龙王归来+】全属性提升增加至75"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv15"			"【暗黑骑士】I am vengeance, I am the night, I am Batman! 在黑夜中攻击力加成为1.5倍效果"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv20"			"【蝙蝠侠】Because I am Batman! 死亡而非真正死亡，处于死亡状态时光环范围提升至全图范围，且额外提供30点全属性加成"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_base_Info"      "攻击力加成:+1.5%/级<br/>"
