"DOTA_Tooltip_modifier_hd_cleave_damage"                   "分裂伤害"

"DOTA_Tooltip_modifier_creeps_spell_fiery_soul"                   "炽魂"
"DOTA_Tooltip_modifier_creeps_spell_fiery_soul_Description"       "赋予攻击速度与移动速度提升" 


"DOTA_Tooltip_modifier_creeps_spell_breathe_fire"                   "火焰气息"
"DOTA_Tooltip_modifier_creeps_spell_breathe_fire_Description"       "降低了攻击力" 


"DOTA_Tooltip_modifier_creeps_spell_dracarys_damage_count"                   "龙焰"
"DOTA_Tooltip_modifier_creeps_spell_dracarys_damage_count_Description"       "累计到一定数值后将进入龙怒状态" 


"DOTA_Tooltip_modifier_dragon_blood_damage_count"                   "龙之血"
"DOTA_Tooltip_modifier_dragon_blood_damage_count_Description"       "累计到一定数值后恢复生命值" 

"DOTA_Tooltip_modifier_creeps_spell_source_fire"                   "始源之火"
"DOTA_Tooltip_modifier_creeps_spell_source_fire_Description"       "受到持续伤害" 


"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff"                   "火焰本源之链"
"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff_Description"       "累计到一定数值将为对方赋予强化" 

"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff_triger"                   "燃尽"
"DOTA_Tooltip_modifier_creeps_spell_Wave38_fire_link_buff_triger_Description"       "赋予伤害无效化，赋予持续性范围伤害能力" 



"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Aethrak_effect"                   "低阶埃斯瑞克之魂"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Aethrak_effect_Description"       "赋予攻击速度与移动速度加成" 
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Aethrak_effect"                   "中阶埃斯瑞克之魂"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Aethrak_effect_Description"       "赋予攻击速度与移动速度加成" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_effect"                   "高阶埃斯瑞克之魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_effect_Description"       "赋予攻击速度与移动速度加成" 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_buff"                   "能量转移"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_buff_Description"       "赋予敏捷加成" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_skywrath_mage_buff"                   "顿悟"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_skywrath_mage_buff_Description"       "赋予智力与防御加成" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_tidehunter_effect"                   "毁灭"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_tidehunter_effect_Description"       "赋予状态抗性，魔法抗性，力量加成" 


