


"HUD_Game_Info_title"  "总论"
"HUD_Game_Info"  "这里记载着一些关于游戏世界观的设定，有兴趣的人可以读一读。有想到的话会逐渐填充这个模块。"


"HUD_Game_Info_Count"  "6"

"HUD_Game_Info_1_title"  "世界的创造者"
"HUD_Game_Info_1"  "关于作者的介绍，其实没啥好说的，我也只是一个普通人，利用空闲时间制作了这个游戏。英雄之路有多部作品，但通常定义下，序章为该图的前9个难度(模式)，而乱纪元模式则是第二章。第一章是另一张地图，那是另外的故事了。"


"HUD_Game_Info_2_title"  "魔力的本质"
"HUD_Game_Info_2"  "魔力普遍存在于空气中，在自然条件下，魔力会从浓厚的区域自动流向稀疏的区域，因此，在自然环境下，魔力的浓度总是一定的。而无论是什么生物，在其表面都存在着一层看不见的膜，这种膜会阻碍魔力的流动；生物都具备着魔力，而正是这层膜，可以锁住身体的高浓度魔力不会向外流失，此外，生物的体表在存在着一些’气孔’，来充当与外界进行魔力沟通的管道。"

"HUD_Game_Info_3_title"  "灵魂的本质"
"HUD_Game_Info_3"  "在死亡后，死者的灵魂会首先在肉体上暂留，这是被施加苏生法术的最佳时间段。经过一段时间后，灵魂开始离开肉身，前往冥界，在这个阶段后，施展苏生法术需要在仪式的基础上强行打开位面的连通，强行在你的当前位面与冥界之间打开一个通道，那么理所当然的，这将消耗巨量的法力。而无论在什么阶段，苏生法术都需要重构受损的肉身，这在整个仪式中也将极具消耗法力，不过，有一些从一开始就与死亡有联系的生物却可以豁免这种消耗，这类生物通常都来自于冥界，它们本身就是死亡的代名词。<br><br>--死者之书·第一卷-灵魂的本质"



"HUD_Game_Info_4_title"  "乱纪元-初始终端"
"HUD_Game_Info_4"  "开拓纪元第一年，’迷失大陆’被发现了，到达第一个岛屿的先驱者们首先发现他们处在一个岛链中。不同的岛屿以一条巨大的道路所连接，而相邻的岛屿的景观差别可以非常大，相隔一座桥，其左可以是霜天，其右可以是焦土。在学者们经过一系列研究后发现，每座岛屿上方都笼罩着一个穹顶，穹顶形成了一个结界将内外隔开，因此各个岛屿的环境差别得以保持，也就是说，这个岛链所形成的独特景观是认为创造的。<br><br>在自然条件下，天然结界的形成无外乎两种，一种为生物诱因，即魔法生物的聚集所散发出的魔法能量汇聚，进而固化成了一层魔法结界，亦或强大的个体为了保护自己的领地而设下的结界；另外一种则是由矿物挥发所形成的结界。通常来讲，这两种天然结界并没有强弱之分，因为极其稀有的矿物所挥发出的魔力也如同古龙创造的结界般强固。<br><br>天然结界的对立，也就是人为所创造的人造结界，但由于大部分智慧生物所创造的结界也被分类到其中，因此魔物所创造的自然结界与人造结界并没有十分严格的区分。通常来讲，你可以从这种结界中发现某种规律，这是创造者的某种习惯导致的。而在这岛链之上的结界群，则体现出了'集合'的规律，因此学者们断定，这是某个智慧个体所创造的。<br><br>先驱者们到达的第一个岛屿被成为’初始中端’，其连接着其他三座大岛，其一是布满水晶的，布满各种地下城的’水晶国度’，其二是遍布植物系怪物的’迷雾之森’，其三，是后来被人所熟知的’光与暗的军团之地’，而在中端之处，是先驱者们与魔物有着最多遭遇战的地方。<br><br>而在岛屿上的魔物嘛，大多都有着十分协调的生态，五种颜色，性格各不相同的五色熊，暗潮洞穴的蜘蛛，依靠的本能守护者岛屿的爪牙，各种生物生活在不同的岛屿上。而当第一批先驱者到达[初始中端]之时，这些生物都将仇恨施加于先驱者们之上。后来经过研究协会判断，这些生物的体内都被刻下了一种奴役烙印，这象征着它们既是邪恶的造物，又是某位邪神的奴仆。但同时，随着探索的进行，人们发现在岛屿的各处存放着各类神器，而那些邪恶造物的皮毛，骨骼又是极佳的锻造素材，更别说它们装备的魔法物品了。<br><br>在经过了十数年的探索，最初的[初始中端]已经发展到了开拓者的聚集地，这里聚集了一众最杰出的铁匠，商人，探寻者。"







"HUD_Game_Info_5_title"  "神器-[屁话连篇]"
"HUD_Game_Info_5"  " 探寻者在乱纪元发掘的第二件神器被称为[屁话连篇]，令人难以置信的是他可以将持有者的任何言语转变喂振奋人心的言辞。学者们发现，在其表面布满了金属条纹，这些条纹可以吸收声波，并通过一种特定规律的反射后再另一端输出。而这种技术太过于奇妙，即使经过了数年的研究也仍旧是一个谜题。<br><br>-乱纪元的神器收录"



"HUD_Game_Info_6_title"  "小白的传说"
"HUD_Game_Info_6"  "在英雄之路的世界里，'小白'并不是一个形容词，而是一个人，据说在最早期，此人曾出现在这个世界中，其以及其独特的个性与话语给人们留下了深刻的印象，时至今日，在这个世界还流传着他的传说。其名为'屁话之神·我的小白'"
