


"DOTA_HUD_Achievement_type_1"   "普通成就"
"DOTA_HUD_Achievement_type_2"   "击杀成就"
"DOTA_HUD_Achievement_type_3"   "特性成就"
"DOTA_HUD_Achievement_type_4"   "英雄成就"
"DOTA_HUD_Achievement_bonus_1"                   "可靠经验：{s:value1}"
"DOTA_HUD_Achievement_bonus_2"                   "黄金奖励：{s:value1}"
"DOTA_HUD_Achievement_bonus_3"                   "白金奖励：{s:value1}"
"DOTA_HUD_Achievement_bonus_4"                   "随机原石：{s:value1}"
"DOTA_HUD_Achievement_bonus_5"                   "秘密奖励：{s:value1}"


"DOTA_HUD_Achievement_bonus"                   "完成奖励"
"DOTA_HUD_Achievement_bonus_get"                   "领取奖励"
"DOTA_HUD_Achievement_state_1"                   "进行中"
"DOTA_HUD_Achievement_state_2"                   "已满足条件"
"DOTA_HUD_Achievement_state_3"                   "解锁于"
"DOTA_HUD_Achievement_state_4"                   "解锁于刚刚"


"DOTA_HUD_Achievement_Broadcast_1"                   "解锁了成就：{s:value1}"


"DOTA_HUD_Unknow"  "未知"
"DOTA_HUD_Nope"  "无"
"DOTA_HUD_secret_info"  "秘密需要你自己去发掘，或与其他英雄交流情报。"

"AT_king_of_involution_title"  "内卷之王"
"AT_king_of_involution_Description"  "获得1次'内卷之王'称号。"
"AT_king_of_involution_Lore"  "第一次获得内卷之王的强大之人，在某次竞争中无人能敌。"

"AT_god_of_involution_title"  "内卷之神"
"AT_god_of_involution_Description"  "获得10次'内卷之王'称号。"
"AT_god_of_involution_Lore"  "只有最强的内卷者才能承担这份大业。"

"AT_legend_nevermore_title"  "传说降临：阴影之王"
"AT_legend_nevermore_Description"  "首次使用天赋'奈文摩尔，阴影之王'完成一场游戏。此天赋在2024年12月'传说挑战月'结算排行榜第一即可获得。"
"AT_legend_nevermore_Lore"  "总有人要站起来亲力亲为。"

"AT_legend_slark_title"  "传说降临：亡命逃犯"
"AT_legend_slark_Description"  "首次使用天赋'斯拉克，亡命逃犯'完成一场游戏。此天赋在2025年6月'传说挑战月'结算排行榜第一即可获得。"
"AT_legend_slark_Lore"  "总有人要站起来亲力亲为。"

"AT_legend_rattletrap_title"  "传说降临：战争装置"
"AT_legend_rattletrap_Description"  "首次使用天赋'瑞托崔普，战争装置'完成一场游戏。此天赋在2025年12月'传说挑战月'结算排行榜第一即可获得。"
"AT_legend_rattletrap_Lore"  "总有人要站起来亲力亲为。"

"AT_pass_difficulty_1_title"  "初次交锋"
"AT_pass_difficulty_1_Description"  "通关难度1。"
"AT_pass_difficulty_1_Lore"  "你初次踏上了这片战场，虽然对那些强大的内卷者来说这种程度只是过家家，但你的前途无量。"
"AT_pass_difficulty_2_title"  "熟能生巧"
"AT_pass_difficulty_2_Description"  "通关难度2。"
"AT_pass_difficulty_2_Lore"  "你尝试挑战了更加困难的敌人，虽然这不还不足以触及上古巨神们，但你在慢慢拉近距离。"
"AT_pass_difficulty_3_title"  "见证"
"AT_pass_difficulty_3_Description"  "通关难度3。"
"AT_pass_difficulty_3_Lore"  "你第一次见识到了那些可怕敌人的进阶形态并克服了这些试炼，现在你开始独当一面了。"
"AT_pass_difficulty_4_title"  "迎接苦难"
"AT_pass_difficulty_4_Description"  "通关难度4。"
"AT_pass_difficulty_4_Lore"  "更多的苦难，更多的痛苦，这些对于你的成长是必不可少的。"
"AT_pass_difficulty_5_title"  "超凡"
"AT_pass_difficulty_5_Description"  "通关难度5。"
"AT_pass_difficulty_5_Lore"  "大多数人止步于此，此时的你已经触及了英雄领域。"
"AT_pass_difficulty_6_title"  "打开大门"
"AT_pass_difficulty_6_Description"  "通关难度6。"
"AT_pass_difficulty_6_Lore"  "你成功的来到了英雄领域的大门前，只要打开这扇门，你将获得挑战英雄们的资格。"

"AT_pass_difficulty_7_title"  "竞争的苦难"
"AT_pass_difficulty_7_Description"  "通关难度7（竞速）。"
"AT_pass_difficulty_7_Lore"  "虽然你的速度可能仍然不够快，但只要一步一步，脚踏实地，早晚有一天你将成为内卷之王。"
"AT_pass_difficulty_8_title"  "无尽的苦难"
"AT_pass_difficulty_8_Description"  "通关难度8（无尽）。"
"AT_pass_difficulty_8_Lore"  "无穷无尽的守卫者淹没了你，但你将由此获得激发。"



"AT_bloodly_blade_1_title"  "封敌之刃"
"AT_bloodly_blade_1_Description"  "完成10,000次敌方单位击杀。"
"AT_bloodly_blade_1_Lore"  "你脚下的尸体已经能堆积如山了。"
"AT_bloodly_blade_2_title"  "染血之刃"
"AT_bloodly_blade_2_Description"  "完成100,000次敌方单位击杀。"
"AT_bloodly_blade_2_Lore"  "这简直是一种罪业了。"







"AT_summoner_1_title"  "初来乍到的召唤师"
"AT_summoner_1_Description"  "释放500次召唤技能。"
"AT_summoner_1_Lore"  "这次的新人好像有点本事。"
"AT_summoner_2_title"  "熟练的召唤师"
