"DOTA_Tooltip_ability_item_hd_Treasure5_shop"	"L神的秘宝箱<font color=\"#777777\">-商店</font>"
"DOTA_Tooltip_ability_item_hd_Treasure5_shop_Description"	"<h1>消耗：兑现</h1>使用后获得1次在[装备图鉴]中通过左键点击任意[第五梯队]后直接获取装备的机会。"

"DOTA_Tooltip_ability_item_hd_Treasure1_oblation"	"奥德的置换箱<font color=\"#777777\">-第一梯队</font>"
"DOTA_Tooltip_ability_item_hd_Treasure1_oblation_Description"	"<h1>消耗：置换</h1>消耗2000金币获得1次在[装备图鉴]中通过左键点击任意[第一梯队]后直接获取装备的机会。"
"DOTA_Tooltip_ability_item_hd_Treasure2_oblation"	"奥德的置换箱<font color=\"#777777\">-第二梯队</font>"
"DOTA_Tooltip_ability_item_hd_Treasure2_oblation_Description"	"<h1>消耗：置换</h1>消耗4000金币获得1次在[装备图鉴]中通过左键点击任意[第二梯队]后直接获取装备的机会。"
"DOTA_Tooltip_ability_item_hd_Treasure3_oblation"	"奥德的置换箱<font color=\"#777777\">-第三梯队</font>"
"DOTA_Tooltip_ability_item_hd_Treasure3_oblation_Description"	"<h1>消耗：置换</h1>消耗8000金币获得1次在[装备图鉴]中通过左键点击任意[第三梯队]后直接获取装备的机会。"
"DOTA_Tooltip_ability_item_hd_Treasure4_oblation"	"奥德的置换箱<font color=\"#777777\">-第四梯队</font>"
"DOTA_Tooltip_ability_item_hd_Treasure4_oblation_Description"	"<h1>消耗：置换</h1>消耗12000金币获得1次在[装备图鉴]中通过左键点击任意[第四梯队]后直接获取装备的机会。"
"DOTA_Tooltip_ability_item_hd_Treasure5_oblation"	"奥德的置换箱<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_Treasure5_oblation_Description"	"<h1>消耗：置换</h1>消耗25000金币获得1次在[装备图鉴]中通过左键点击任意[第五梯队]后直接获取装备的机会。"



"DOTA_Tooltip_modifier_item_hd_Treasure1_oblation"                   "置换"
"DOTA_Tooltip_modifier_item_hd_Treasure1_oblation_Description"       "你拥有自由选择LV1物品的机会" 
"DOTA_Tooltip_modifier_item_hd_Treasure2_oblation"                   "置换"
"DOTA_Tooltip_modifier_item_hd_Treasure2_oblation_Description"       "你拥有自由选择LV2物品的机会" 
"DOTA_Tooltip_modifier_item_hd_Treasure3_oblation"                   "置换"
"DOTA_Tooltip_modifier_item_hd_Treasure3_oblation_Description"       "你拥有自由选择LV3物品的机会" 
"DOTA_Tooltip_modifier_item_hd_Treasure4_oblation"                   "置换"
"DOTA_Tooltip_modifier_item_hd_Treasure4_oblation_Description"       "你拥有自由选择LV4物品的机会" 
"DOTA_Tooltip_modifier_item_hd_Treasure5_oblation"                   "置换"
"DOTA_Tooltip_modifier_item_hd_Treasure5_oblation_Description"       "你拥有自由选择LV5物品的机会" 



"DOTA_Tooltip_ability_item_hd_Treasure1_oblation_Lore"	"在暗黑大陆的某地有一座高塔，那里住着一位神秘的法师，人们只知道他叫奥德，但这是不是他的真名则无人知晓了。这名法师精通以物换物之道，他制作出了一种宝箱，扔足够多的金币到里面后你便可以从中开出你想要的装备，无论其有多稀有。"
"DOTA_Tooltip_ability_item_hd_Treasure2_oblation_Lore"	"在暗黑大陆的某地有一座高塔，那里住着一位神秘的法师，人们只知道他叫奥德，但这是不是他的真名则无人知晓了。这名法师精通以物换物之道，他制作出了一种宝箱，扔足够多的金币到里面后你便可以从中开出你想要的装备，无论其有多稀有。"
"DOTA_Tooltip_ability_item_hd_Treasure3_oblation_Lore"	"在暗黑大陆的某地有一座高塔，那里住着一位神秘的法师，人们只知道他叫奥德，但这是不是他的真名则无人知晓了。这名法师精通以物换物之道，他制作出了一种宝箱，扔足够多的金币到里面后你便可以从中开出你想要的装备，无论其有多稀有。"
"DOTA_Tooltip_ability_item_hd_Treasure4_oblation_Lore"	"在暗黑大陆的某地有一座高塔，那里住着一位神秘的法师，人们只知道他叫奥德，但这是不是他的真名则无人知晓了。这名法师精通以物换物之道，他制作出了一种宝箱，扔足够多的金币到里面后你便可以从中开出你想要的装备，无论其有多稀有。"
"DOTA_Tooltip_ability_item_hd_Treasure5_oblation_Lore"	"在暗黑大陆的某地有一座高塔，那里住着一位神秘的法师，人们只知道他叫奥德，但这是不是他的真名则无人知晓了。这名法师精通以物换物之道，他制作出了一种宝箱，扔足够多的金币到里面后你便可以从中开出你想要的装备，无论其有多稀有。"

//act2
"DOTA_Tooltip_ability_item_act2_choice"	"精髓信条<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_choice_Description"	"<h1>消耗：选择精髓</h1>获取一种精英精髓，随着击杀对应的精英单位或敌人，精髓的能力会愈发强大。"
"DOTA_Tooltip_ability_item_act2_choice_Lore"	"这是来自不可知的恩惠，是窃取强大生物的精髓以强化自身的卑劣赐福。"

"DOTA_Tooltip_ability_item_act2_nevermore"	"魔王精髓<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_nevermore_Description"	"<h1>被动：精髓强化</h1>每击杀%need%只怪物或击杀苦难精英-奈文摩尔的化身时获得%get%点能量点数。在乱纪元模式中此要求减半。\n<h1>被动：暗影炮</h1>对护甲低于能量点×%line%的敌人造成伤害时，在其位置触发<font color='#9370db'>毁灭阴影</font>，最短触发间隔为%cd%秒。\n<h1>%check1%能量点被动：二重毁灭</h1><font color='#9370db'>毁灭阴影</font>的伤害总增%bonus1%%% [×]，且会在其%radius1%范围内随机一处地点再次触发%damage1%%%伤害的<font color='#9370db'>毁灭阴影</font>。\n<h1>%check2%能量点主动：魔王领域</h1>展开领域，降低%radius2%范围内敌人能量点×%armor2%点护甲，同时以%interval2%秒的间隔对其内生命值最高的敌人触发<font color='#9370db'>毁灭阴影</font>，持续%duration2%秒。\n<h1><font color='#9370db'>触发：毁灭阴影</font></h1>对%radius%范围内的敌人造成能量点×主属性×%damage%的暗属性伤害，并使他们的伤害总降%outgoing%%% [×]，持续%duration%秒。"
"DOTA_Tooltip_modifier_item_act2_nevermore_field"	"魔王领域"
"DOTA_Tooltip_modifier_item_act2_nevermore_field_Description"   "减少范围内敌人的护甲"
"DOTA_Tooltip_modifier_item_act2_nevermore_shadowraze"	"毁灭阴影"
"DOTA_Tooltip_modifier_item_act2_nevermore_shadowraze_Description"   "造成的伤害总降"
"DOTA_Tooltip_modifier_item_act2_nevermore_field_debuff"	"魔王领域"
"DOTA_Tooltip_modifier_item_act2_nevermore_field_debuff_Description"   "护甲被降低"
"DOTA_Tooltip_ability_item_act2_nevermore_Lore"	"从强大的守卫者手中窃取力量并非易事，然而现在的你似乎与生俱来这样的力量。"

"DOTA_Tooltip_ability_item_act2_wolf"	"狼群精髓<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_wolf_Description"	"<h1>被动：精髓强化</h1>每击杀%need%只怪物或击杀苦难精英-狼王之心时获得%get%点能量点数。在乱纪元模式中此要求减半。\n<h1>被动：相位猛冲</h1>每位移%move%-能量点×%move_down%码会触发<font color='#9370db'>烈冲</font>，最短触发间隔为%cd%秒。\n<h1>%check1%能量点被动：无畏冲锋</h1><font color='#9370db'>烈冲</font>的伤害总增%bonus1%%% [×]，同时<font color='#9370db'>烈冲</font>还会使你造成的伤害总增%outgoing1%%% [×]，持续%duration1%秒。\n<h1>%check2%能量点主动：围猎</h1>对指定方向进行连续%num2%次<font color='#9370db'>烈冲</font>，这个技能可以在被控制时释放，并立刻对自身进行强驱散。\n<h1><font color='#9370db'>触发：烈冲</font></h1>对前方%length%+能量点×%bonus_length%码的敌人造成能量点×主属性×%damage%的火属性伤害并破坏其被动，持续%duration%秒。"
"DOTA_Tooltip_modifier_item_act2_wolf_charge_buff"	"无畏猛冲"
"DOTA_Tooltip_modifier_item_act2_wolf_charge_buff_Description"   "造成的伤害总增"
"DOTA_Tooltip_modifier_item_act2_wolf_charge_debuff"	"烈冲"
"DOTA_Tooltip_modifier_item_act2_wolf_charge_debuff_Description"   "被动破坏"
"DOTA_Tooltip_ability_item_act2_wolf_Lore"	"从强大的守卫者手中窃取力量并非易事，然而现在的你似乎与生俱来这样的力量。"

"DOTA_Tooltip_ability_item_act2_slark"	"暗潮精髓<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_slark_Description"	"<h1>被动：精髓强化</h1>每击杀%need%只怪物或击杀苦难精英-斯拉克之影时获得%get%点能量点数。在乱纪元模式中此要求减半。\n<h1>被动：潜游</h1>造成超过敌人%line%%%最大生命值的伤害，或是释放一个冷却时间大于%linecd%秒的技能时，对自身施加弱驱散并触发<font color='#9370db'>阴影之舞</font>，最短触发间隔为%cd%秒。\n<h1>%check1%能量点被动：阴影开膛手</h1><font color='#9370db'>阴影之舞</font>使你在持续时间内免疫沉默和眩晕，同时造成的伤害总增%outgoing1%%% [×]。\n<h1>%check2%能量点主动：优游自若</h1>立刻开启持续%duration2%秒的<font color='#9370db'>阴影之舞</font>，在其持续时间内，基于你与敌人靠近的距离，你对其的伤害至多总增能量点×%outgoing2%%% [×]。\n<h1><font color='#9370db'>触发：阴影之舞</font></h1>进入%duration%秒无法被打破的隐形状态，期间每秒回复自身能量点×%maxhp_regen%%%最大生命值。"
"DOTA_Tooltip_modifier_item_act2_slark_shadow_dance"	"阴影之舞"
"DOTA_Tooltip_modifier_item_act2_slark_shadow_dance_Description"   "无法被敌人发现，恢复生命值"
"DOTA_Tooltip_modifier_item_act2_slark_shadow_dance_active"	"优游自若：阴影之舞"
"DOTA_Tooltip_modifier_item_act2_slark_shadow_dance_active_Description"   "无法被敌人发现，恢复生命值，距离敌人越近伤害越高"
"DOTA_Tooltip_ability_item_act2_slark_Lore"	"从强大的守卫者手中窃取力量并非易事，然而现在的你似乎与生俱来这样的力量。"

"DOTA_Tooltip_ability_item_act2_leshrac"	"折磨精髓<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_leshrac_Description"	"<h1>被动：精髓强化</h1>每击杀%need%只怪物或击杀苦难精英-Somnus、M的化身时获得%get%点能量点数。在乱纪元模式中此要求减半。\n<h1>被动：折磨扩散</h1>击杀敌人时，在其位置触发<font color='#9370db'>折磨</font>，最短触发间隔为%cd%秒。\n<h1>%check1%能量点被动：溃烂</h1>对带有<font color='#9370db'>折磨</font>的敌人造成非中毒伤害时，对其施加等同伤害量×%index1%%%的中毒效果。此外，你的中毒也被视为暗属性伤害。\n<h1>%check2%能量点被动：永恒折磨</h1><font color='#9370db'>折磨</font>的持续时间变为无限。受其影响的单位在你周围%radiu2%范围内死亡时，回复你能量点×%mp_regen2%%%的最大魔法值。\n<h1><font color='#9370db'>触发：折磨</font></h1>使%radius%范围内的敌人受到的伤害增加能量点×%incoming%%%，持续%duration%秒。"
"DOTA_Tooltip_modifier_item_act2_leshrac_torment"	"折磨"
"DOTA_Tooltip_modifier_item_act2_leshrac_torment_Description"   "受到的伤害增加"
"DOTA_Tooltip_ability_item_act2_leshrac_Lore"	"从强大的守卫者手中窃取力量并非易事，然而现在的你似乎与生俱来这样的力量。"

"DOTA_Tooltip_ability_item_act2_razor"	"风暴精髓<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_razor_Description"	"<h1>被动：精髓强化</h1>每击杀%need%只怪物或击杀苦难精英-闪电幽魂时获得%get%点能量点数。在乱纪元模式中此要求减半。\n<h1>被动：迅捷之雷</h1>释放一个冷却时间大于一秒的技能的短暂延迟后，返还其剩余冷却的%cdback%%%并触发<font color='#9370db'>不稳定电场</font>，<font color='#9370db'>不稳定电场</font>的最短触发间隔为%cd%秒。\n<h1>%check1%能量点被动：极速电场</h1><font color='#9370db'>不稳定电场</font>会使自身的全额攻击力、技能增强和移动速度增加%down1%%% [+]，持续%duration1%秒。\n<h1>%check2%能量点主动：静电链接</h1>在%duration2%秒内持续连接自身周围%radius2%范围内至多%max2%个敌人，每个被链接的敌人会使你在此期间造成的伤害总增%outgoing2%%% [×]。\n<h1><font color='#9370db'>触发：不稳定电场</font></h1>对自身周围%radius%范围内的敌人造成能量点×主属性×%damage%的雷属性伤害，并造成短暂眩晕和沉默。"
"DOTA_Tooltip_modifier_item_act2_razor_unstable_buff"	"极速电场"
"DOTA_Tooltip_modifier_item_act2_razor_unstable_buff_Description"   "全额攻击力、技能增强和移动速度增加"
"DOTA_Tooltip_modifier_item_act2_razor_static_link"	"静电链接"
"DOTA_Tooltip_modifier_item_act2_razor_static_link_Description"   "周围的敌人越多，造成的伤害就总增越多"
"DOTA_Tooltip_ability_item_act2_razor_Lore"	"从强大的守卫者手中窃取力量并非易事，然而现在的你似乎与生俱来这样的力量。"

"DOTA_Tooltip_ability_item_act2_giant"	"原始精髓（可共享）<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_giant_Description"	"<h1>消耗：滋养</h1>为你的精英精髓直接赋予%stack%能量点数"
