"npc_monster_wave_1_2"	"近战爪牙"
"npc_monster_wave_1_2_hype"	"守门的奴仆"
"npc_monster_wave_2_1"	"哥布林卫士"
"npc_monster_wave_2_1_hype"	"哥布林守卫者"
"npc_monster_wave_2_2"	"哥布林弓箭手"
"npc_monster_wave_2_2_hype"	"哥布林守卫者"
"npc_monster_wave_1_1"	"远程爪牙"
"npc_monster_wave_1_1_hype"	"守门的奴仆"
"npc_monster_wave_3_6"	"小熊怪"
"npc_monster_wave_3_6_hype"	"五色军团"
"npc_monster_wave_3_4"	"邪恶熊怪"
"npc_monster_wave_3_5"	"剧毒熊怪"
"npc_monster_wave_3_1"	"暴怒熊怪"
"npc_monster_wave_3_3"	"冷酷熊怪"
"npc_monster_wave_3_2"	"躁动熊怪"
"npc_monster_wave_3_3_hype"	"五色军团"
"npc_monster_wave_3_4_hype"	"五色军团"
"npc_monster_wave_3_5_hype"	"五色军团"
"npc_monster_wave_3_2_hype"	"五色军团"
"npc_monster_wave_3_1_hype"	"五色军团"
"npc_monster_wave_4_1_1"	"焦躁的捕食蛛(幼体)"
"npc_monster_wave_4_1_2"	"焦躁的捕食蛛(虫卵)"
"npc_monster_wave_4_1"	"焦躁的捕食蛛"
"npc_monster_wave_4_2"	"冷酷的食亲者"
"npc_monster_wave_4_3"	"龟缩的生育者"
"npc_monster_wave_5_1"	"精英·巴尔诺克之子"

"npc_monster_wave_6_1"	"中阶近战爪牙"
"npc_monster_wave_6_2"	"中阶远程爪牙"
"npc_monster_wave_6_2_hype"	"守门的奴仆"
"npc_monster_wave_7_1"	"狗头人奴隶主"
"npc_monster_wave_7_2"	"狗头人雇佣兵"
"npc_monster_wave_7_3"	"狗头人奴隶"
"npc_monster_wave_8_1"	"雷肤兽·战士"
"npc_monster_wave_5_1_clone"	"精英·巴尔诺克之子"
"npc_monster_wave_8_2"	"雷肤兽·军团长"
"npc_monster_wave_9_1"	"艾欧"
"npc_monster_wave_10_1"	"序幕守门者·巴尔诺克"
"npc_monster_wave_11_1"	"暗夜刺客·极"
"npc_monster_wave_11_2"	"暗夜刺客·击"
"npc_monster_wave_12_1"	"暗月骑士"
"npc_monster_wave_12_2"	"月光骑士"
"npc_monster_wave_13_1"	"小树精"
"npc_monster_wave_13_2"	"百年树精"
"npc_monster_wave_13_3"	"千年树精"
"npc_monster_wave_13_4"	"千年树精"
"npc_monster_wave_14_1"	"统帅·王狼"
"npc_monster_wave_14_2"	"血盟护卫"
"npc_monster_wave_14_3"	"普通的狼"
"npc_monster_wave_15_1"	"精英·法尔纳之女"
"npc_monster_wave_20_1"	"大自然的次女·法尔纳"
"npc_monster_wave_16_1"	"丛林先知"
"npc_monster_wave_16_2"	"丛林萨满"
"npc_monster_wave_18_1"	"远古之石"
"npc_monster_wave_18_2"	"远古之石·中中"
"npc_monster_wave_18_3"	"远古之石·大大"
"npc_monster_wave_18_4"	"远古之石·巨巨"
"npc_monster_wave_19_1"	"斧王·蒙哥可汗"

"npc_creater_spawner"	"刷怪点"
"npc_monster_wave_17_1"	"万年树精长老"
"npc_monster_wave_21_1"	"低级水元素"
"npc_monster_wave_22_1"	"低级火元素"
"npc_monster_wave_23_1"	"低级风元素"
"npc_monster_wave_24_1"	"低级暗元素"
"npc_monster_wave_25_1"	"精英·光与暗之子·梅尔隆德"
"npc_monster_wave_26_1"	"低级土元素"
"npc_monster_wave_27_1"	"低级电元素"
"npc_monster_wave_28_1"	"低级冰元素"

"npc_monster_wave_29_1"	"空单位_用于29波倒计时"
"npc_monster_wave_30_1"	"万物之起源·元素核心"
"npc_monster_wave_30_2"	"电元素使·风暴之灵"
"npc_monster_wave_30_3"	"火元素使·灰烬之灵"
"npc_monster_wave_30_4"	"暗元素使·虚无之灵"
"npc_monster_wave_30_5"	"土元素使·大地之灵"
"npc_attack_unit"	"攻击马甲"
"npc_attack_unit_hype"	"诞生于虚空之中，不断汲取太初之能。"
"npc_monster_wave_31_1"	"崩坏者·马格纳斯"
"npc_hd_Brain_worm"	"无名的脑虫成体"
"npc_hd_Brain_worm_clone"	"无名的脑虫成体"

"npc_monster_wave_33_1"	"迷雾守卫者"
"npc_monster_wave_34_1"	"被腐化的中阶近战爪牙"
"npc_monster_wave_35_1"	"晶体化狗头人盗贼"
"npc_monster_wave_36_1"	"晶体化熊怪"
"npc_monster_wave_10_1_clone"	"亡魂·巴尔诺克"
"npc_monster_wave_31_1_clone"	"亡魂·马格纳斯"


