"Map_Card_effect_level1"  "难度"
"Map_Card_effect_level2"  "中阶"
"Map_Card_effect_level3"  "高阶"
"DOTA_Tooltip_modifier_boss_rune" "最终首领奖励"
"DOTA_Tooltip_modifier_boss_rune_Description" "如果战胜最终首领，那么你本局的符石获取总增%dMODIFIER_PROPERTY_TOOLTIP%%%"
// 词条搭配法：
// 种族词条：40 100 150 250（1.25）
// 困难词条：32  80 120 200（1）
// 中等词条：26  64 96  160 （0.8）
// 简单词条：16  40 60  100（0.5）
// 最大进度：1.8*2.5*3.5（瓦困难，瓦种族，瓦种族）=1575%
// 最小进度：1.2*1.48*1.96（简单，简单，中等）=305%

// 最终进度：
// 基础 20
// 困难 20 25 30 35
// 中等 16 20 24 28
// 简单 10 13 
// 最大加成：20+25+30+35（瓦困难，瓦种族，瓦种族）=110%
// 最小进度：20+10+13+24（简单，简单，中等）=67%

"diff_1"   "简单"
"diff_1_info"   "<font color='#F5F5F5'>适合新入门的玩家</font><br><br>怪物生命值：<hp>%<br>怪物攻击力：<atk>%<br>符石进度：<rune>%<br>胜利符石加成：<boss_rune>%"

"diff_2"   "普通"
"diff_2_info"   "<font color='#87CEEB'>适合对游戏有所了解的玩家</font><br><br>怪物生命值：<hp>%<br>怪物攻击力：<atk>%<br>符石进度：<rune>%<br>胜利符石加成：<boss_rune>%"

"diff_3"   "困难"
"diff_3_info"   "<font color='#9370DB'>适合有符石和圣物的玩家</font><br><br>怪物生命值：<hp>%<br>怪物攻击力：<atk>%<br>符石进度：<rune>%<br>胜利符石加成：<boss_rune>%"

"diff_4"   "噩梦"
"diff_4_info"   "<font color='#FA8072'>适合较多符石和圣物的玩家</font><br><br><font color='#FA8072'>怪物拥有随机增益</font><br>怪物生命值：<hp>%<br>怪物攻击力：<atk>%<br>符石进度：<rune>%<br>胜利符石加成：<boss_rune>%"

"diff_5"   "终末"
"diff_5_info"   "<font color='#FF8C00'>这个难度对你来说并不公平</font><br><br><font color='#ff8c00'>怪物拥有更多随机增益</font><br>怪物生命值：<hp>%<br>怪物攻击力：<atk>%<br>符石进度：<rune>%<br>胜利符石加成：<boss_rune>%"

"DOTA_Tooltip_ability_chaotic_era_buffskill_1"  "易碎装甲"
"DOTA_Tooltip_ability_chaotic_era_buffskill_1_Description"  "初始拥有%start_incoming%层装甲，每层提供%each%%%伤害减免。<br>受到伤害时失去%each%层装甲，全部失去后受到的伤害增加%break_incoming%%%。\n<font color='#606060'>破坏：受到伤害会失去10倍的装甲。</font>"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_1"  "易碎装甲"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_1_Description" "受到的伤害降低%dMODIFIER_PROPERTY_TOOLTIP%%%<br>受到的伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_chaotic_era_buffskill_2"  "模糊"
"DOTA_Tooltip_ability_chaotic_era_buffskill_2_Description"  "获得%evasion%%%闪避，周围%radius%范围内不存在英雄时提高至%evasion_plus%%%。"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_2"  "模糊"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_2_Description" "获得%dMODIFIER_PROPERTY_TOOLTIP%%%闪避"

"DOTA_Tooltip_ability_chaotic_era_buffskill_3"  "魔力叱喝"
"DOTA_Tooltip_ability_chaotic_era_buffskill_3_Description"  "受到敌人的技能伤害时，燃烧其%mana%%%当前魔法值并使其移动速度降低%move_down%%%，持续%duration%秒。\n<font color='#606060'>破坏：不再燃烧魔法值；<br>魔法免疫：免疫其减速效果。</font>"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_3"  "魔力叱喝"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_3_Description" "受到技能伤害时进行反击"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_3_debuff"  "魔力叱喝"
"DOTA_Tooltip_modifier_chaotic_era_buffskill_3_debuff_Description" "移动速度降低，可弱驱散"

"DOTA_Tooltip_ability_chaotic_era_buffskill_4"  "回复新星"
