"HUD_player_artifact_Title" "圣物：<font color=\"#6de2c5\">{s:ability_owner}</font>"
"HUD_player_artifact_Rarity" "稀有度：{s:rarity}"
"HUD_player_artifact_Level" "<font color=\"#8bb6ff\">圣物等级</font>：{s:artifactLevel}"
"HUD_player_artifact_LevelProgress" "<font color=\"#596e89\">圣物经验</font>：{s:exp_current} / {s:exp_require}"
"HUD_player_artifact_bonus_per_level" "{s:bonus_pre_level}<font color=\"#596e89\"> 每等级</font>"
"HUD_player_artifact_additional_unlock" "LV{s:level_require}解锁："
"HUD_player_artifact_lore" "<font color=\"#614f7377\">传闻：</font>{s:lore}"
"HUD_player_artifact_hero_level_require" "英雄装备等级需求：<font color=\"#fffd7a\">{s:level_require}</font>"
"HUD_player_artifact_lock" "未解锁"
"HUD_player_artifact_Take" "拿取圣物"
"HUD_player_artifact_Clear" "移除圣物"
"HUD_player_artifact_TakeThis" "取用"
"HUD_player_artifact_BuyThis" "购买"
"HUD_player_artifact_same_artifact" "无法取用相同的神器"
"HUD_player_artifact_max" "无可用圣物槽"
"HUD_ArtifactDrop"  "{s:player_name}解锁圣物：<font color=\"#c092fd\">{s:locstring_value}</font>"
"HUD_ArtifactDrop_Exp"  "{s:player_name}重复解锁圣物：<font color=\"#c092fd\">{s:locstring_value}</font>转化为<font color=\"#f0ad4e\">{s:locstring_value2}</font>圣物经验"
"HUD_Rune_Description" "<font color=\"#8bb6ff\">说明</font>：装配符石后，此技能的能力将获得提升："
"HUD_Rune_Bonus_Title" "<font color=\"#8bb6ff\">加成</font>："
"HUD_Rune_Type_Bonus_Title" "<font color=\"#8bb6ff\">激活效果</font>："
"HUD_Rune_Type_Particle_Title" "<font color=\"#e2776d\">特效铭刻</font>："
"HUD_Rune_Modify_Count" "已魔改次数："
"HUD_Rune_Modify_Count_Label" "已魔改次数：<font color=\"#ffffff\">{s:modify_count}</font>"

///////////////////////////////////////////////普通品质：等级要求6//////////////////////////////////////////////
"DOTA_Tooltip_ability_item_hd_woodknife_effects"	"野木林"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_main_ability_title"	"被动：附加攻击"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_main_ability"	"获得%bonus_attack%点攻击力。"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_Lore"	"太古野木林是个什么玩意！？"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_bonus_attack_speed"	"+$attack"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_1"	"【远古品质】额外提供%attack_speed_1%点攻击速度"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_2"	"【镶嵌：自在宝石】该圣物的装备需求等级减少%additional_2_level_require%。"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_3"	"【太古品质】额外提供%attack_3%点攻击力"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_4"	"【卡德山的绝望】额外提供%atb_4%点全属性"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_7"	"【毒性攻击】攻击命中时，对目标施加等于自身全额攻击力×%poison_7%%%的中毒状态"
"DOTA_Tooltip_ability_item_hd_woodknife_effects_additional_10"	"【巅峰造极】<font color='#9370db'>毒性攻击</font>倍率提高至%poison_10%%%，英雄自带的攻击分裂倍率提高%cleave_10%%% [+]"

"DOTA_Tooltip_ability_item_hd_normal_amulet_effects"	"玉石挂坠"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_main_ability_title"	"被动：魔法力量"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_main_ability"	"释放冷却时间大于%cd_line%秒的技能后，回复自身%mana%点魔法值。"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_Lore"	"大地，空气，精灵和水的精灵神奇力量。"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_bonus_spell_amp"	"%+$spell_amp"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_1"	"【猫眼石】额外提供%atb_1%点全属性"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_2"	"【托帕石】<font color='#9370db'>魔法力量</font>回复的魔法值提高至%mana_2%并回复一半数值的生命值"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_3"	"【玉露石】额外提供%spell_amp_3%%%技能增强"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_4"	"【达碧兹石】取出圣物时，如果仍有空余的技能位置，则会学习<font color='#9370db'>第三卢恩·特尔</font>"
