

"HUD_PotionBagTitle"   "药剂背包"

"HUD_Potion_count"  "剩余数：{s:count}"

"HUD_Potion_Info_1"  "药剂不占用物品栏，会存放于药剂背包，可随时使用。"

"HUD_Potion_Error_1"  "已无库存"
"HUD_Potion_Error_2"  "死亡状态下无法使用"


// 初级、中级、上级、圣级、王级、帝级、神级


"hd_potion_healing_1"   "初级生命药剂"
"hd_potion_healing_1_info"   "使用后将立即恢复你<value1>生命值，视为治疗。"
"hd_potion_healing_2"   "中级生命药剂"
"hd_potion_healing_2_info"   "使用后将立即恢复你<value1>生命值，视为治疗。"
"hd_potion_healing_3"   "上级生命药剂"
"hd_potion_healing_3_info"   "使用后将立即恢复你<value1>生命值，视为治疗。"
"hd_potion_healing_4"   "圣级生命药剂"
"hd_potion_healing_4_info"   "使用后将立即恢复你<value1>生命值，视为治疗，同时获得<duration>秒恢复强效状态，在恢复强效状态下你的生命恢复增强提升<value2>%。"
"hd_potion_healing_5"   "王级生命药剂"
"hd_potion_healing_5_info"   "使用后将立即恢复你<value1>生命值，视为治疗，同时获得<duration>秒恢复强效状态，在恢复强效状态下你的生命恢复增强提升<value2>%。"



"DOTA_Tooltip_modifier_hd_potion_healing_4_bonus"                   "生命恢复强效"
"DOTA_Tooltip_modifier_hd_potion_healing_4_bonus_Description"       "生命恢复增强提升%dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_hd_potion_healing_5_bonus"                   "生命恢复强效"
"DOTA_Tooltip_modifier_hd_potion_healing_5_bonus_Description"       "生命恢复增强提升%dMODIFIER_PROPERTY_TOOLTIP%%%" 




"hd_potion_regen_mana_1"   "初级魔力药剂"
"hd_potion_regen_mana_1_info"   "使用后将立即恢复你<value1>魔法。"
"hd_potion_regen_mana_2"   "中级魔力药剂"
"hd_potion_regen_mana_2_info"   "使用后将立即恢复你<value1>魔法。"
"hd_potion_regen_mana_3"   "上级魔力药剂"
"hd_potion_regen_mana_3_info"   "使用后将立即恢复你<value1>魔法。"
"hd_potion_regen_mana_4"   "圣级魔力药剂"
"hd_potion_regen_mana_4_info"   "使用后将立即恢复你<value1>魔法，同时获得<duration>秒恢复强效状态，在恢复强效状态下你的魔法恢复增强提升<value2>%。"
"hd_potion_regen_mana_5"   "王级魔力药剂"
"hd_potion_regen_mana_5_info"   "使用后将立即恢复你<value1>魔法，同时获得<duration>秒恢复强效状态，在恢复强效状态下你的魔法恢复增强提升<value2>%。"


"DOTA_Tooltip_modifier_hd_potion_regen_mana_4_bonus"                   "魔法恢复强效"
"DOTA_Tooltip_modifier_hd_potion_regen_mana_4_bonus_Description"       "魔法恢复增强提升%dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_hd_potion_regen_mana_5_bonus"                   "魔法恢复强效"
"DOTA_Tooltip_modifier_hd_potion_regen_mana_5_bonus_Description"       "魔法恢复增强提升%dMODIFIER_PROPERTY_TOOLTIP%%%" 





"hd_potion_arcane_boost_1"  "初级奥术滋养灵药"
